# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=123456
# chain_id=3
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC9_treatment_3.csv
# diagnostic_file=stan_diagnostics/LCC9_treatment_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
-938.866,0.991883,0.03125,2,3,0,948.108,0.081402,-0.390828,1.6164,-1.39415,0.879212,2.03111,-3.6474,-0.531667,9.1289,-54.9716,19.4951,-1.64534
-938.866,0,14.1748,0,1,1,939.048,0.081402,-0.390828,1.6164,-1.39415,0.199212,0.191008,0.0510886,-0.53413,9.1289,-54.9716,19.4951,-1.64534
-938.866,0,2.3851,0,1,1,939.353,0.081402,-0.390828,1.6164,-1.39415,0.233501,-0.320853,0.873335,-0.231607,9.1289,-54.9716,19.4951,-1.64534
-938.866,0,0.234661,0,1,1,942.435,0.081402,-0.390828,1.6164,-1.39415,-0.480877,1.15135,-2.25116,-0.717262,9.1289,-54.9716,19.4951,-1.64534
-934.684,0.964458,0.0182002,3,7,0,941.628,0.0885208,-0.306035,1.62948,-1.33418,0.0279259,3.29812,-0.442611,1.67728,9.21543,-53.0943,46.5231,-1.62578
-926.809,0.955965,0.0225859,3,7,0,937.016,-0.0570187,-0.202401,1.57536,-1.27902,-1.97489,3.84685,1.1122,0.692201,7.47098,-58.2322,-17.3204,-1.87033
-921.937,0.987192,0.0308914,3,7,0,927.829,0.00723561,-0.110389,1.58799,-1.24312,0.793103,3.26184,0.332353,0.637032,8.13579,-56.282,10.8789,-1.79393
-704.264,0.401311,0.0502632,4,15,0,924.489,-0.782909,3.4372,1.24127,-0.676702,-1.81555,20.5081,-3.2334,2.47272,-16.582,-63.3096,2.07799,-9.84842
-701.685,0.972745,0.0136429,3,7,0,706.04,-0.815935,3.49921,1.27926,-0.643134,-0.479274,2.72489,0.15557,1.01555,-15.9614,-57.9252,48.2342,-9.4996
-411.361,0.889379,0.0228015,4,15,0,702.396,0.195993,6.84119,0.624676,-0.319415,-6.68316,-22.5066,4.78568,-2.82031,-27.0359,-92.6431,36.1475,-13.2185
-403.707,0.946666,0.0299949,2,3,0,412.158,0.231869,6.90941,0.61459,-0.319618,1.58608,3.6555,-0.993939,0.187611,-26.0048,-92.0838,43.8525,-12.9616
-403.707,0.379464,0.0479849,2,3,0,406.726,0.231869,6.90941,0.61459,-0.319618,-1.08829,-0.855273,-1.69664,-1.11452,-26.0048,-92.0838,43.8525,-12.9616
-394.857,0.990745,0.0129697,3,7,0,404.705,0.234351,6.9974,0.610401,-0.275241,0.559678,4.00915,-1.17423,1.38997,-25.6793,-89.7885,56.8933,-12.9023
-381.868,1,0.0242893,2,3,0,394.995,0.239452,7.10225,0.551663,-0.253896,-0.794765,-4.42769,2.32801,-0.774008,-29.8348,-95.7199,39.7043,-14.2513
-182.478,0.577136,0.0468382,3,7,0,374.984,0.616706,8.85521,0.0356565,0.113729,-5.96057,-16.8029,7.26783,-3.78463,-39.9559,-23.4807,77.2328,-20.895
-169.747,1,0.0242884,2,3,0,182.646,0.666142,8.94562,-0.132221,0.15549,2.46473,1.72267,-3.82398,1.46051,-54.3427,-5.6105,15.9484,-26.4904
-154.887,1,0.0468565,2,3,0,169.59,0.918259,8.91267,-0.206642,0.252286,-4.67505,-0.09603,1.76991,-2.09949,-36.2152,-8.35621,20.6004,-20.9622
-154.055,0.0401864,0.0898023,2,3,0,159.082,1.06683,9.05742,-0.151042,0.307512,2.24594,0.283331,-1.81979,1.27241,-13.1744,29.5897,54.3175,-14.6417
