# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=42
# chain_id=4
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_treatment_4.csv
# diagnostic_file=stan_diagnostics/LV_treatment_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
-294.663,1,0.0078125,1,1,0,3000.94,0.334433,0.0010088,-2.68129,7.62965,7.9531,-4.29608,-3.096,8.6774,9.55535,30.1949,1.2363,45.48,-40.343,19.4826,-14.1766,0.875361,-13.8121,-5.58659,3228.81,-283.436,-1339.1,-933.874,-791.476,-184.421,556.206,-1931.66,650.423
-294.663,0,14.3855,0,1,1,295.878,0.334433,0.0010088,-2.68129,7.62965,7.9531,-4.29608,-3.096,8.6774,9.55535,-0.713964,-0.399832,0.261626,-0.674268,0.694997,-0.322115,-0.523924,-0.446091,-0.420621,3228.81,-283.436,-1339.1,-933.874,-791.476,-184.421,556.206,-1931.66,650.423
-294.663,0,2.43117,0,1,1,300.772,0.334433,0.0010088,-2.68129,7.62965,7.9531,-4.29608,-3.096,8.6774,9.55535,-0.275315,0.545542,-0.572336,-0.882716,1.00893,-0.640236,-1.99601,-0.348734,2.28163,3228.81,-283.436,-1339.1,-933.874,-791.476,-184.421,556.206,-1931.66,650.423
-294.663,0,0.239791,0,1,1,298.673,0.334433,0.0010088,-2.68129,7.62965,7.9531,-4.29608,-3.096,8.6774,9.55535,1.32408,0.737991,0.684478,2.04692,0.653023,-0.207754,0.39568,0.658144,-0.0658564,3228.81,-283.436,-1339.1,-933.874,-791.476,-184.421,556.206,-1931.66,650.423
-294.663,0,0.0186273,0,1,1,299.149,0.334433,0.0010088,-2.68129,7.62965,7.9531,-4.29608,-3.096,8.6774,9.55535,-0.335819,-1.15485,1.09275,-0.147492,-0.606663,-1.51804,1.24157,-0.869907,1.1577,3228.81,-283.436,-1339.1,-933.874,-791.476,-184.421,556.206,-1931.66,650.423
-178.253,1,0.00130482,3,7,0,296.752,0.311307,0.0109359,-2.67495,7.63846,7.96047,-4.29379,-3.09657,8.69372,9.55433,11.3429,-3.02883,-3.97478,-3.60984,-3.50193,-0.96464,1.05324,-7.374,1.28611,2428.25,-225.828,-1103.78,-513.544,-855.033,-196.413,387.704,-1412.54,397.489
-111.978,1,0.00189104,2,3,0,180.407,0.294477,0.0119023,-2.67046,7.64791,7.96848,-4.28645,-3.10303,8.70217,9.5492,-8.3591,0.625477,3.10374,3.0578,3.7809,2.28678,-2.24938,4.48175,-1.71433,1866.97,-179.755,-965.095,-183.878,-889.261,-176.165,234.136,-1065.11,89.0746
-28.6674,1,0.00305706,2,3,0,112.602,0.261977,0.00888211,-2.6494,7.66152,7.9741,-4.28688,-3.10628,8.72392,9.55095,9.03411,0.0546975,-6.05341,-1.69756,-3.74819,-0.321514,0.912983,-5.62413,-0.329505,891.747,-125.985,-795.185,339.915,-926.716,-102.061,73.5665,-483.371,-74.582
129.9,1,0.00530085,3,7,0,28.5556,0.169197,0.0206907,-2.59316,7.60301,8.08598,-4.29625,-3.09504,8.75763,9.55481,-7.0173,1.66924,8.09241,-7.42985,11.5056,-0.505528,-0.425218,2.75411,1.94733,-226.392,-130.167,-459.502,475.224,-283.308,53.3528,203.153,101.872,-29.6762
144.327,0.796704,0.00961161,2,3,0,-125.579,0.162131,0.0150673,-2.58295,7.59185,8.11013,-4.29133,-3.11147,8.76239,9.55808,0.626267,0.064485,3.14577,-3.25029,3.32391,0.192892,-2.35303,-0.100619,0.0828142,-283.285,-135.16,-433.503,434.84,-168.837,66.2991,133.768,123.917,53.5431
