# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=123456
# chain_id=1
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC9_treatment_1.csv
# diagnostic_file=stan_diagnostics/LCC9_treatment_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
-12015.2,1,0.00390625,1,1,0,26240.5,0.57979,0.652885,-0.429488,-1.14857,0.58927,-20.0328,-167.47,-1.6564,-31.5946,-2874.4,-23718.9,-26.2059
-12015.2,0,14.3855,0,1,1,12016.2,0.57979,0.652885,-0.429488,-1.14857,0.0313918,-1.06728,-0.288927,-0.901288,-31.5946,-2874.4,-23718.9,-26.2059
-12015.2,0,2.43117,0,1,1,12019.2,0.57979,0.652885,-0.429488,-1.14857,-1.3593,-1.48425,1.94889,-0.266214,-31.5946,-2874.4,-23718.9,-26.2059
-12015.2,0,0.239791,0,1,1,12016.5,0.57979,0.652885,-0.429488,-1.14857,-0.120928,-0.572772,-0.37356,1.45614,-31.5946,-2874.4,-23718.9,-26.2059
-12015.2,0,0.0186273,0,1,1,12016.1,0.57979,0.652885,-0.429488,-1.14857,0.156728,-0.645107,1.1289,0.0843916,-31.5946,-2874.4,-23718.9,-26.2059
-10262.2,1,0.00130482,2,3,0,11984.8,0.579646,0.665922,-0.351031,-1.14544,-0.019173,8.39769,58.0799,1.23178,-24.8527,-2453.11,-20177.5,-22.6435
-3912.45,1,0.00189104,4,31,0,10152.9,0.574213,0.7414,0.141947,-1.15011,0.682976,-15.574,-110.623,0.562474,0.155021,-907.042,-7230.55,-9.46691
-3690.36,1,0.00305706,1,1,0,3908.72,0.566164,0.744521,0.173294,-1.15051,-2.63407,2.3226,20.6005,-0.117478,0.829855,-851.555,-6769.05,-9.07254
-2033.73,1,0.00530085,2,3,0,3591.93,0.576538,0.773386,0.514042,-1.1512,-0.945738,-5.73872,-55.5209,0.0311171,8.74747,-429.742,-3245.32,-5.07174
-1633.66,1,0.00961161,1,1,0,1979.99,0.562465,0.779693,0.657356,-1.15449,1.51391,-2.20634,-26.1801,0.322024,10.3586,-322.576,-2344.98,-4.14478
-1059.73,1,0.0179176,1,1,0,1476.36,0.564199,0.81602,1.02545,-1.1103,-0.0255645,3.41018,28.5559,2.48811,13.6555,-154.341,-894.342,-2.49064
-872.183,1,0.0339435,2,3,0,977.423,0.605675,0.873956,1.54046,-1.15121,-0.945997,-2.64655,-14.1842,1.17932,16.2565,-55.3686,58.2407,-1.52598
-857.529,0.333333,0.0648221,2,3,0,873.793,0.561813,1.09389,1.50904,-1.16051,-1.16775,5.24713,-1.90404,-0.0895311,15.1523,-57.2113,43.7919,-1.66132
-849.851,0.899158,0.0153451,3,15,0,863.145,0.553017,1.2518,1.39219,-1.17186,-0.529285,4.97628,-1.22659,-0.204512,14.4313,-70.4985,-88.4854,-1.90347
-841.428,1,0.0216619,3,7,0,850.275,0.482542,1.37321,1.51846,-1.13815,1.53489,-3.7787,-0.851439,-0.57786,13.4855,-54.053,85.287,-1.80212
-837.698,1,0.0418426,2,3,0,840.903,0.451277,1.38418,1.42053,-1.13305,1.00948,-1.63024,1.64533,-0.164228,12.5356,-65.3917,-33.2205,-2.02101
-815.62,0.0361303,0.0804179,1,3,1,844.382,0.217083,1.72601,1.47328,-1.14133,-3.25098,6.49918,-2.17156,-0.00586283,8.42528,-55.9198,70.3216,-2.41332
