# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=42
# chain_id=1
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_treatment_1.csv
# diagnostic_file=stan_diagnostics/LV_treatment_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
262.842,0.822281,0.0116314,5,31,0,-248.223,0.228547,0.655642,-1.85158,7.51674,8.1554,-4.15879,-3.09629,8.80021,9.58204,-2.02557,-4.64277,-0.994506,0.131918,0.0774411,-0.360389,1.53647,0.141403,0.239501,52.4394,16.1151,46.8527,-55.8558,-19.0406,-13.5109,112.553,-30.8298,9.43095
262.842,0.148853,0.0130889,2,7,1,-256.941,0.228547,0.655642,-1.85158,7.51674,8.1554,-4.15879,-3.09629,8.80021,9.58204,-1.31811,0.143694,0.839794,0.633133,-0.828242,-1.30986,1.9918,1.57676,0.289006,52.4394,16.1151,46.8527,-55.8558,-19.0406,-13.5109,112.553,-30.8298,9.43095
262.439,0.982028,0.00191553,6,63,0,-259.183,0.190897,0.641827,-1.86581,7.50364,8.17724,-4.17057,-3.11645,8.81816,9.59357,-0.869673,-0.757088,-1.15201,-0.0420677,0.892565,-0.511085,-1.60833,0.456691,-0.0296242,-65.6886,16.3388,44.0142,-14.8392,-1.06196,16.6635,-10.1408,28.7275,309.002
265.698,0.999912,0.00354626,6,63,0,-258.72,0.312411,0.412241,-2.18206,7.53761,8.15851,-4.13017,-3.12593,8.98217,9.57579,0.287661,-2.17296,0.00583074,-2.28007,0.318651,0.0317375,0.185118,1.32353,1.43679,-62.7401,2.27767,-63.3074,53.14,-31.9018,23.7659,-61.1887,46.5892,-82.7901
266.29,0.970184,0.00687044,5,31,0,-262.548,0.301486,0.473252,-1.87768,7.52876,8.14089,-4.10214,-3.09913,8.94256,9.5799,-0.83567,0.650606,2.07183,0.352231,-0.343504,0.00165876,-1.11475,-0.275768,0.71249,-8.90325,2.80067,43.7347,-3.67428,-28.186,11.1197,105.659,10.6754,14.5645
266.29,0.00924164,0.0120765,4,15,0,-262.078,0.301486,0.473252,-1.87768,7.52876,8.14089,-4.10214,-3.09913,8.94256,9.5799,0.70707,-0.878241,-1.00448,1.32632,1.16078,0.586894,0.107001,-1.20477,1.10847,-8.90325,2.80067,43.7347,-3.67428,-28.186,11.1197,105.659,10.6754,14.5645
268.302,0.982978,0.00125852,7,127,0,-260.308,0.320634,0.430616,-2.06041,7.52825,8.13353,-4.12743,-3.13443,8.96348,9.57319,0.718745,-0.319214,-2.35052,-1.46149,-1.40817,-0.904306,0.247155,-0.530888,2.13688,28.1055,7.43045,-15.4371,-23.4695,-70.4479,-3.70511,-114.803,-10.3672,-168.952
267.289,0.996942,0.00231219,6,63,0,-262.709,0.297419,0.449505,-2.12398,7.52838,8.14558,-4.13662,-3.09625,8.9501,9.5716,0.391791,-0.355308,0.956822,-0.0338819,-1.94264,0.359614,-1.92667,0.581233,0.0994959,-3.72996,3.71064,-36.6428,-6.49431,-39.9391,3.7786,116.38,7.93048,-194.182
265.986,0.989991,0.00438067,6,63,0,-261.782,0.206815,0.516752,-1.9099,7.54107,8.22138,-4.23369,-3.12448,8.84552,9.5724,-0.140169,-0.416067,-1.54581,1.34824,0.370909,1.05843,0.677572,1.49693,0.223421,-45.6368,7.86467,32.3241,19.5185,67.0023,5.51945,-35.6194,21.6096,-200.747
266.709,0.972297,0.00805323,5,47,0,-261.617,0.316192,0.576222,-2.06936,7.53891,8.21955,-4.23785,-3.1298,8.99578,9.57781,0.882554,-0.599603,-1.42259,-0.809299,1.21174,0.493235,-1.82318,0.75563,-0.871276,46.1482,11.4717,-20.0646,-33.8584,82.4327,-23.3764,-66.8222,-18.1851,-82.9594
