# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=12345
# chain_id=2
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC9_vehicle_2.csv
# diagnostic_file=stan_diagnostics/LCC9_vehicle_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
-1125.09,1,0.015625,2,7,0,2468.14,1.23306,1.27677,0.885329,-0.660735,0.989823,-8.29667,-51.1494,-0.172897,32.0315,-192.067,-1119.07,-1.43055
-1125.09,0,14.3855,0,1,1,1128.13,1.23306,1.27677,0.885329,-0.660735,1.90037,0.109584,1.44581,-0.600396,32.0315,-192.067,-1119.07,-1.43055
-1125.09,0,2.43117,0,1,1,1126.96,1.23306,1.27677,0.885329,-0.660735,-1.10353,1.40869,0.174888,0.711144,32.0315,-192.067,-1119.07,-1.43055
-1125.09,0,0.239791,0,1,1,1128.11,1.23306,1.27677,0.885329,-0.660735,-2.12651,0.0758151,-1.22004,-0.176016,32.0315,-192.067,-1119.07,-1.43055
-929.708,1,0.0186273,2,7,0,1089.47,1.22581,1.31217,1.12467,-0.670561,-0.689375,3.00726,17.5994,-0.51555,32.2264,-118.826,-510.041,-1.28487
-870.531,1,0.0257257,1,1,0,915.887,1.20298,1.38845,1.25871,-0.681065,-1.29379,4.12515,8.47754,-0.392241,31.5711,-90.1827,-253.992,-1.24879
-824.017,1,0.0404064,2,3,0,863.478,1.21827,1.80481,1.34429,-0.636579,-1.90067,6.7613,-5.42239,0.437542,32.0304,-71.9045,-64.6544,-1.25201
-824.017,0.000163902,0.0687243,1,3,1,825.88,1.21827,1.80481,1.34429,-0.636579,0.205358,1.26249,-0.185533,-1.43357,32.0304,-71.9045,-64.6544,-1.25201
-788.083,1,0.00530359,6,63,0,826.507,1.00711,2.2396,1.35096,-0.856647,-3.51856,7.37892,-2.78547,-1.5029,24.7398,-66.3891,2.04014,-1.56376
-771.406,0.999187,0.00961659,4,15,0,789.173,1.01534,2.49227,1.32762,-0.901508,0.857556,-5.86425,0.371068,0.521513,24.6526,-66.8375,8.37747,-1.65026
-771.274,0.844042,0.0178809,3,7,0,774.423,1.02348,2.50621,1.28501,-0.897125,-0.234402,-1.42782,2.03375,-0.260323,24.7193,-72.5328,-39.0667,-1.69904
-751.794,0.981444,0.0206978,3,7,0,772.464,1.01355,2.78799,1.32365,-0.850593,-1.14993,6.26446,0.611581,0.632311,24.4026,-64.2382,42.1869,-1.70368
-526.189,0.954652,0.0373386,4,15,0,753.038,0.147251,5.65538,0.875838,-1.11366,-3.50791,20.8267,-2.76073,-0.142521,-18.8992,-81.6406,14.623,-10.1856
-254.702,0.222419,0.0621539,3,7,0,526.606,0.696837,8.16015,0.279714,-0.690979,5.50715,20.9302,-8.02055,3.3282,-30.6635,-76.7142,101.714,-15.4294
-201.755,1,0.0105548,4,15,0,255.362,0.848886,8.45535,-0.112942,-0.578247,-3.98428,-7.45915,5.55204,-2.20813,-62.866,-90.913,-12.3565,-25.6673
-202.322,0.997111,0.0204806,2,3,0,203.174,0.832122,8.45804,-0.11187,-0.568941,-0.159631,1.05771,0.19402,0.721878,-64.3429,-90.4523,-13.8317,-26.1186
-172.827,1,0.0392072,2,3,0,202.804,1.09663,8.73166,-0.127719,-0.635063,-5.14011,-5.6812,1.12108,0.0150563,-35.0956,-36.403,39.729,-18.7201
-154.694,0.759605,0.0752413,2,3,0,172.11,1.3481,8.96168,-0.300799,-0.323426,4.2023,1.98307,-0.939796,3.5153,-17.9818,29.2383,2.05496,-15.571
-155.299,0.9788,0.0691459,3,7,0,157.409,1.69487,8.78354,-0.441604,-0.481602,-1.86856,-0.652241,0.182542,-0.519434,-0.763693,-21.7853,-26.4132,-11.8845
-155.299,4.76965e-05,0.123179,1,3,1,158.048,1.69487,8.78354,-0.441604,-0.481602,-1.79332,0.952051,-0.853561,-0.80488,-0.763693,-21.7853,-26.4132,-11.8845
