# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=12345
# chain_id=3
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_vehicle_3.csv
# diagnostic_file=stan_diagnostics/LV_vehicle_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
457.568,0.67638,0.0101743,4,15,0,-455.169,0.0234192,-0.120807,-2.55572,7.76209,8.24749,-3.52862,-3.2673,9.5075,9.54334,0.509658,-1.77976,0.200863,-0.276517,0.379689,0.238316,0.385463,-0.869949,-0.383561,-35.1098,27.1206,-23.5878,50.663,20.7617,-32.6267,-41.7999,46.2144,-153.256
454.524,0.846164,0.00729529,4,15,0,-450.114,0.0414527,-0.115371,-2.50144,7.70687,8.26936,-3.44074,-3.28902,9.48721,9.55707,-0.182567,-1.02616,-1.2903,0.0802559,-0.881283,-0.292027,-1.64875,0.29735,-1.54688,-73.1807,-10.4764,-1.37749,-127.364,107.68,91.5642,-31.1545,52.3151,-52.2252
453.518,0.910202,0.00886113,3,7,0,-450.732,0.0424592,-0.119364,-2.51517,7.70117,8.26788,-3.45236,-3.3008,9.48674,9.57097,-0.376434,-0.429252,0.676557,-1.28305,1.20802,1.11728,0.595389,0.275837,-0.0673631,52.5045,-72.3614,-11.4329,-203.458,111.439,-5.56812,-13.6526,-34.1139,86.7046
456.473,0.484362,0.013068,2,3,0,-452.372,0.0433997,-0.111125,-2.50811,7.722,8.2692,-3.45084,-3.28965,9.48035,9.5751,0.163312,-1.2068,-0.562552,-2.20791,0.750838,0.0661168,-0.784622,0.292827,0.508,36.0089,-88.2052,-3.34497,-93.999,130.395,27.9288,10.5177,-30.0284,126.161
460.248,0.937771,0.00533668,4,31,0,-451.739,0.0264981,-0.0717771,-2.50117,7.74281,8.20731,-3.48713,-3.21809,9.4775,9.57519,-0.999683,0.573899,0.201548,2.71754,-0.398682,-0.783648,2.41149,0.35397,1.2451,30.5055,-15.918,3.17178,-26.8141,-101.416,-15.563,21.4083,-25.8667,24.5103
455.666,0.747314,0.00856178,4,15,0,-450.282,-0.0317508,-0.107116,-2.4845,7.7505,8.25507,-3.50082,-3.22094,9.4058,9.5406,1.17381,0.709291,-0.167647,0.268391,1.62575,0.399215,1.78133,0.804945,-1.47115,-59.8393,-1.27103,13.8122,27.1052,98.6575,21.451,49.7928,-22.1569,-120.958
458.014,1,0.00777246,3,7,0,-454.221,-0.0318192,-0.10643,-2.46638,7.75727,8.22668,-3.51431,-3.23649,9.4098,9.558,-0.0146043,-0.994786,-0.299079,0.339622,1.7492,0.133542,1.41612,-1.06927,-0.404713,-25.3899,-37.8974,20.1066,35.0674,-25.4519,-12.8351,19.1432,-41.8305,-9.55806
458.014,0.000811831,0.0148412,1,3,0,-455.934,-0.0318192,-0.10643,-2.46638,7.75727,8.22668,-3.51431,-3.23649,9.4098,9.558,0.889024,-0.280288,0.253208,-0.128629,-0.182292,-0.144193,-0.296645,-1.146,1.32418,-25.3899,-37.8974,20.1066,35.0674,-25.4519,-12.8351,19.1432,-41.8305,-9.55806
459.076,0.996829,0.00153716,6,63,0,-455.354,-0.00731911,-0.111527,-2.49596,7.74239,8.22348,-3.51288,-3.22301,9.46588,9.55152,1.70839,0.613304,-1.05962,-0.289231,0.660222,0.164002,-0.166162,1.55177,0.208486,-123.636,-46.7096,5.93,-4.3289,-29.0449,31.7411,39.4353,65.1548,-20.1103
457.342,0.99168,0.00292152,6,63,0,-453.037,0.0768575,-0.123521,-2.56773,7.7592,8.25062,-3.46578,-3.2851,9.51559,9.56042,1.76571,0.580123,-0.868656,0.407113,0.565442,0.53777,-0.775178,0.373781,1.69911,130.544,-56.5755,-31.0834,49.5698,44.1072,-21.6922,-16.3593,-68.9392,24.9688
458.93,0.898944,0.00541547,4,15,0,-452.257,0.0430646,-0.0851821,-2.5842,7.73047,8.24079,-3.48259,-3.25989,9.51106,9.58283,-1.52743,2.05103,0.536135,-0.648844,1.4152,-0.423824,1.34429,-0.114899,-1.44807,-49.7701,-71.8684,-37.055,-70.2544,20.3894,20.9654,12.9899,60.3032,134.089
455.785,0.746022,0.00764197,4,31,0,-451.148,-0.0346495,-0.0578753,-2.48324,7.76495,8.24467,-3.48755,-3.21353,9.39718,9.56868,0.618682,-0.190827,1.77895,1.39057,0.237011,1.37614,-0.767742,0.953123,-0.555915,-168.168,25.4002,11.8327,130.254,57.5828,109.349,43.4315,38.7506,-58.4643
456.518,0.979352,0.00697961,5,31,0,-450.519,0.0920617,-0.0520222,-2.47335,7.75242,8.25073,-3.44437,-3.23211,9.54843,9.58479,-0.168306,1.11647,1.4373,2.05678,0.574213,0.602923,-1.13901,-1.53183,0.30066,-112.73,-5.60244,14.3248,90.0639,72.7061,147.302,36.5124,141.848,47.8765
452.876,0.0497761,0.0122299,4,15,0,-450.67,0.0965231,-0.0333621,-2.48849,7.76188,8.2611,-3.44411,-3.22476,9.53997,9.56639,-0.538956,-0.623547,1.24102,-0.103516,-0.290108,0.633942,-0.652182,1.12712,0.0157562,-28.4814,147.545,0.485464,109.454,91.2882,107.187,-8.44496,71.2649,-243.509
459.418,0.99682,0.00162962,6,63,0,-449.004,0.0140237,-0.0573321,-2.50387,7.74777,8.24574,-3.51054,-3.25246,9.49143,9.59927,2.30107,2.07019,0.175327,-1.84542,-2.07868,0.0827007,-1.54882,0.948218,0.429962,-99.6982,-67.051,1.20247,14.9905,51.6935,24.8142,30.074,72.6506,195.422
458.409,0.949219,0.00300427,4,31,0,-452.139,0.0411814,-0.0547909,-2.48118,7.76027,8.21936,-3.52072,-3.23982,9.53034,9.5733,-0.0239078,0.374039,0.879778,0.910898,-0.786459,0.881139,0.401757,2.05493,-2.23967,-54.9859,87.6731,7.33076,47.4188,-89.7133,-7.07939,-49.3774,81.1291,-133.175
458.271,0.994083,0.00481786,5,31,0,-455.608,0.0500351,-0.0641886,-2.47023,7.75906,8.21234,-3.52287,-3.24671,9.5323,9.58576,0.81091,-1.11263,1.08394,-0.204028,-0.234572,0.0617334,-0.556953,0.0666436,1.35652,50.2075,4.08673,11.9776,4.82404,-101.507,-77.1266,-22.995,8.89943,35.799
459.693,0.952048,0.00865114,4,15,0,-456.582,0.0163571,-0.0712937,-2.52959,7.73659,8.26116,-3.4775,-3.24194,9.46163,9.58079,0.188545,0.393605,0.938027,0.513862,1.12257,-0.992082,0.0810633,1.60003,0.278507,-11.5205,-54.257,-8.69612,-35.1134,130.218,19.3865,51.2989,-10.1333,103.669
459.693,0.0168157,0.0137516,1,3,0,-452.795,0.0163571,-0.0712937,-2.52959,7.73659,8.26116,-3.4775,-3.24194,9.46163,9.58079,0.357521,-1.21968,-2.02871,-0.889178,-0.373572,2.19241,1.02404,0.307945,1.08878,-11.5205,-54.257,-8.69612,-35.1134,130.218,19.3865,51.2989,-10.1333,103.669
457.672,0.994955,0.00181901,5,63,0,-453.473,0.00629826,-0.0433288,-2.51602,7.72488,8.21047,-3.51512,-3.20363,9.47793,9.57886,0.0887919,0.0857216,0.581097,1.52775,-1.31958,-0.890955,1.2112,0.319926,1.26714,49.8746,47.3476,-5.76088,-146.196,-91.4826,-90.8816,16.9488,-32.8979,-54.3489
458.168,0.99871,0.00325223,5,31,0,-453.945,-0.0251498,-0.0768538,-2.48496,7.74473,8.23573,-3.4904,-3.26968,9.39872,9.58531,0.641061,-1.02301,0.0680023,-1.95128,-0.205764,-0.509974,-1.4878,0.488915,0.648926,37.2102,-20.3654,12.6278,-16.9874,-20.843,-17.7003,-29.1394,-88.9526,68.133
455.886,0.897997,0.00581743,4,15,0,-448.077,-0.0191309,-0.077753,-2.48988,7.75286,8.23349,-3.48565,-3.28944,9.39384,9.5924,-0.738554,0.0988013,0.868919,-1.37494,0.245471,-0.920184,3.22745,0.448031,-0.944857,101.79,-19.1714,7.82344,7.60454,-48.3661,-35.3937,-58.3191,-134.704,93.8759
458.102,0.995098,0.00794421,4,15,0,-453.326,-0.0110382,-0.129756,-2.51323,7.74516,8.24848,-3.53102,-3.26669,9.47487,9.55307,-1.65671,-0.0373369,0.404642,-0.0928852,1.6823,0.297888,-1.12148,-1.41862,0.665626,-125.505,-68.7212,-4.47249,-6.03094,47.8102,7.65639,7.3423,73.2054,14.5497
458.073,0.13576,0.0138522,3,9,1,-451.31,0.0112523,-0.0526816,-2.54397,7.75645,8.22377,-3.47325,-3.22009,9.42816,9.59163,0.363735,-1.43765,0.321893,1.98905,-0.844569,-1.35886,-1.41957,-0.248528,-1.62166,133.972,-51.0189,-14.5725,33.8063,-25.7636,-26.2995,48.4002,-131.791,142.053
