# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=12345
# chain_id=1
# iter=100
# warmup=50
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_vehicle.csv
# diagnostic_file=stan_diagnostics/LV_vehicle.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
453.635,0.994161,0.00394723,5,31,0,-449.831,-0.0479393,-0.072606,-2.50887,7.73294,8.22161,-3.46094,-3.23476,9.37344,9.58276,-0.103499,-1.18459,0.679836,-1.17163,-0.428682,-0.902499,1.23923,0.546251,1.23503,-247.594,-58.3949,-0.233376,24.0561,-44.7759,165.229,26.3403,70.1391,112.745
454.929,0.999804,0.00757402,4,15,0,-452.191,-0.0411761,-0.0703001,-2.51248,7.73211,8.22693,-3.45647,-3.24547,9.37019,9.58254,-1.42986,-0.409713,0.482379,0.10392,-0.851847,-0.133287,1.41297,0.443965,0.285781,-141.777,-27.7983,1.4189,-1.21404,-39.1704,120.471,-0.491583,3.99043,68.0021
456.136,0.189049,0.0147042,2,5,1,-450.845,-0.021528,-0.0750652,-2.49244,7.7211,8.22892,-3.46556,-3.22428,9.391,9.56157,-0.805046,0.611232,-1.28565,-0.0725297,-0.325281,0.539539,-1.41846,-2.25372,0.643432,72.2485,39.0597,10.5329,-111.715,-25.8513,-10.6692,3.13695,-114.059,-106.532
456.927,0.994435,0.0024285,6,63,0,-450.501,0.0207997,-0.00212195,-2.52297,7.75665,8.24871,-3.47327,-3.2463,9.4427,9.60673,1.75319,1.37115,-0.795535,0.0644406,-0.74443,-1.62152,-0.807798,1.84886,0.0898077,122.599,87.3705,-7.15122,31.4955,33.9339,-24.6953,-33.8506,-116.523,-3.994
456.938,0.715834,0.00465791,5,31,0,-449.399,-0.00867083,-0.0163573,-2.50427,7.72915,8.24825,-3.48423,-3.26179,9.44499,9.61274,-3.07276,-1.06286,1.0291,-0.582637,-0.406926,0.197852,-0.615765,1.43747,-0.677082,-125.291,25.4196,2.34597,-43.3271,31.2137,64.5343,-28.569,50.2119,114.313
457.333,0.917735,0.00386013,5,31,0,-451.454,0.00984989,-0.109899,-2.56453,7.73413,8.22059,-3.50514,-3.20833,9.48009,9.5393,-1.81816,2.0475,-0.435072,1.40881,-0.708866,-0.365561,0.214313,-0.127701,-1.1781,-44.9689,8.75963,-24.1978,-70.0305,-49.194,-13.3757,31.1741,30.4789,-140.247
458.472,0.986574,0.00583857,4,31,0,-454.358,0.0185277,-0.114566,-2.56153,7.74023,8.22877,-3.49947,-3.20828,9.48271,9.54278,1.54659,-0.677738,0.577092,1.15437,1.39153,1.00309,-0.174468,0.403387,0.759709,-20.6594,-41.6742,-21.3905,-37.8047,3.34033,-11.3086,62.876,15.8063,-56.1053
455.935,0.752785,0.0107442,4,15,0,-452.376,-0.0273418,-0.0550706,-2.44182,7.72654,8.25482,-3.49805,-3.28936,9.42533,9.59504,-0.693712,-0.728586,-0.925705,-1.63345,-0.676181,0.029453,-1.2074,-0.73452,0.354898,-83.5415,21.9471,26.7073,-68.3154,33.1715,19.913,-59.3059,5.69457,45.557
453.653,0.464031,0.00992745,3,7,0,-449.604,-0.0121326,-0.0419106,-2.49175,7.77868,8.20274,-3.50909,-3.20315,9.4401,9.56534,0.376367,-0.758105,-1.23329,0.141502,-1.37738,0.486612,1.07534,1.5611,-0.336032,-118.318,132.507,-2.09132,164.544,-138.686,62.4386,-25.1968,42.2803,-225.893
455.011,1,0.00399944,5,31,0,-450.515,-0.0291078,-0.0799712,-2.52834,7.72022,8.24599,-3.48816,-3.26446,9.41041,9.55358,1.272,-0.945468,-0.579565,0.640534,-1.08317,0.0950351,-1.92983,-0.212968,0.883611,-29.8622,128.097,-12.1078,-120.167,-10.4196,-3.88255,-88.4822,-35.0209,-261.744
