# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=12345
# chain_id=1
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_vehicle_1.csv
# diagnostic_file=stan_diagnostics/LV_vehicle_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
-91.1145,1,0.0078125,1,1,0,554.382,0.114931,-0.048554,-2.92164,7.94332,8.18239,-3.56982,-3.23304,9.39508,9.62292,-2.8061,-4.3678,14.4391,-25.0389,6.48629,-2.42284,3.2375,-0.503714,2.339,4484.43,-472.859,-1268.42,742.737,-315.116,-1684.32,280.218,-3240.64,980.714
-91.1145,0,14.3855,0,1,1,93.8334,0.114931,-0.048554,-2.92164,7.94332,8.18239,-3.56982,-3.23304,9.39508,9.62292,1.76208,-0.344622,0.463067,-0.14574,0.376863,0.956008,-0.541292,-0.564344,-0.557784,4484.43,-472.859,-1268.42,742.737,-315.116,-1684.32,280.218,-3240.64,980.714
-91.1145,0,2.43117,0,1,1,94.5551,0.114931,-0.048554,-2.92164,7.94332,8.18239,-3.56982,-3.23304,9.39508,9.62292,0.0254955,1.24753,-0.464007,0.71435,-0.0245435,1.62449,-0.715981,-0.508479,-1.08986,4484.43,-472.859,-1268.42,742.737,-315.116,-1684.32,280.218,-3240.64,980.714
-91.1145,0,0.239791,0,1,1,93.868,0.114931,-0.048554,-2.92164,7.94332,8.18239,-3.56982,-3.23304,9.39508,9.62292,0.0129315,0.207259,0.573133,-1.19385,0.694959,1.39695,0.313889,0.674897,0.849586,4484.43,-472.859,-1268.42,742.737,-315.116,-1684.32,280.218,-3240.64,980.714
-91.1145,0,0.0186273,0,1,1,97.1131,0.114931,-0.048554,-2.92164,7.94332,8.18239,-3.56982,-3.23304,9.39508,9.62292,1.34636,1.27545,1.3661,0.502368,-1.35688,-0.130374,-0.51016,2.06253,-0.258589,4484.43,-472.859,-1268.42,742.737,-315.116,-1684.32,280.218,-3240.64,980.714
182.09,1,0.00130482,3,7,0,89.4247,0.0641224,-0.0408418,-2.9068,7.93948,8.18141,-3.54799,-3.24546,9.43151,9.61425,-16.8401,2.16425,5.28492,-3.90194,0.9994,6.77019,-2.5777,12.1502,-3.23943,1400.57,-117.364,-727.285,1532.52,-525.12,-443.473,-53.9002,-1027.31,347.126
197.019,1,0.00189104,2,3,0,-177.678,0.0619778,-0.0431702,-2.90651,7.93584,8.18528,-3.54412,-3.24346,9.43486,9.6148,2.31233,1.08212,-0.80912,3.38246,-2.49307,-2.39484,-1.08477,-2.63266,0.0918272,1246.15,-157.737,-697.655,1546.38,-473.691,-370.572,-23.6178,-912.444,408.506
381.268,1,0.00305706,3,7,0,-195.984,-0.02735,-0.0586953,-2.83098,7.6493,8.26264,-3.52718,-3.24533,9.48301,9.5788,1.52615,2.03504,-7.04772,16.7593,-5.60627,0.471716,-1.26162,-0.487592,0.268128,-48.3341,30.69,-296.907,-932.956,185.32,-216.893,-1.13214,64.4922,-27.766
424.91,1,0.00530085,3,7,0,-379.831,0.0120166,-0.0753919,-2.81681,7.79652,8.23403,-3.52858,-3.23192,9.45175,9.57236,-3.01715,1.10599,-2.976,-7.79477,2.14743,-0.15282,-0.716595,2.23435,-0.274064,310.094,-22.2004,-206.329,298.258,-11.0882,-173.556,6.5207,-219.105,25.7121
454.376,0.635432,0.00961161,3,7,0,-421.962,0.0424854,-0.0346083,-2.62429,7.72743,8.24924,-3.43773,-3.21331,9.48268,9.59055,1.32185,0.692776,6.92064,3.37186,0.192244,1.71517,-0.177184,0.0302328,-0.568976,-133.924,-7.28084,-54.635,-19.5604,104.595,146.862,64.3258,94.3957,75.2674
453.978,0.904525,0.00565714,4,31,0,-443.98,-0.0129056,-0.120882,-2.50706,7.78837,8.23508,-3.56143,-3.26769,9.48438,9.5507,-0.567941,-0.160208,3.01868,-2.34813,1.86258,0.953832,-0.558096,-0.410766,-0.402337,-152.591,-8.767,-8.27902,184.831,-26.8054,17.0607,-34.6791,98.4119,-77.4583
454.338,0.898361,0.00793723,4,15,0,-449.486,0.0378108,-0.0224002,-2.53787,7.72765,8.22541,-3.42264,-3.2262,9.43714,9.58876,1.69698,0.867528,0.170003,1.93877,-0.119849,-0.548351,0.905971,-0.0224216,-1.07117,170.179,100.889,-13.3039,-72.5896,-58.7306,25.972,-29.4369,-156.76,-95.4576
454.338,0.0372377,0.0110542,3,7,0,-445.615,0.0378108,-0.0224002,-2.53787,7.72765,8.22541,-3.42264,-3.2262,9.43714,9.58876,2.11683,-0.232111,-0.642026,1.23513,-0.483653,-0.794698,2.8522,-0.983205,-1.00317,170.179,100.889,-13.3039,-72.5896,-58.7306,25.972,-29.4369,-156.76,-95.4576
453.494,0.997033,0.00104231,6,63,0,-447.565,0.037645,-0.0187688,-2.53644,7.71669,8.23318,-3.42778,-3.23211,9.44452,9.58418,0.496599,-0.340415,-0.314818,1.79611,-1.6122,1.00066,1.01012,-1.82828,0.454423,167.088,148.672,-16.4258,-133.86,-39.1668,2.91039,-53.7346,-147.859,-184.473
455.808,0.997482,0.00202616,6,63,0,-450.561,0.0466793,-0.0863866,-2.53597,7.74907,8.22579,-3.53828,-3.24089,9.5342,9.58553,0.489414,2.20109,-0.636427,0.221651,-0.247358,1.90812,-0.202219,-1.07709,-0.22969,172.962,-103.499,-19.6701,-95.6953,-19.7026,-189.161,48.962,-67.946,195.92
453.69,0.994087,0.00394181,5,31,0,-449.895,-0.0480187,-0.0728421,-2.50904,7.73319,8.22163,-3.4611,-3.23501,9.37344,9.58231,-0.137466,-1.18904,0.679966,-1.16671,-0.434901,-0.882368,1.23572,0.55118,1.23872,-248.101,-56.1671,-0.288456,25.2895,-45.408,165.499,24.9674,70.573,108.072
454.96,0.999274,0.00756198,4,15,0,-452.24,-0.0412631,-0.0706063,-2.51264,7.73234,8.22697,-3.45664,-3.24567,9.37019,9.58223,-1.432,-0.396752,0.481865,0.11263,-0.854725,-0.132931,1.40494,0.447037,0.257767,-142.456,-26.7355,1.33996,-0.107657,-39.433,120.751,-1.20138,4.4872,65.5534
456.18,0.195317,0.0146572,2,5,1,-450.899,-0.0216535,-0.0754799,-2.49266,7.72124,8.22897,-3.46569,-3.22447,9.39088,9.56161,-0.811309,0.609109,-1.28683,-0.057047,-0.32314,0.540051,-1.42072,-2.2459,0.643922,71.8509,37.7433,10.4892,-111.071,-25.505,-10.5274,3.54762,-113.841,-104.14
456.844,0.994132,0.00246723,6,63,0,-450.54,0.0217546,-0.00153498,-2.52362,7.75659,8.24828,-3.47431,-3.24687,9.44378,9.60674,1.67576,1.31264,-0.787977,0.0411058,-0.761719,-1.59927,-0.774624,1.92417,0.114049,133.78,91.1544,-7.82059,27.0798,30.5029,-32.7966,-36.9902,-123.303,-9.81259
452.725,0.710754,0.00472728,5,31,0,-448.74,-0.0267158,-0.0280424,-2.49464,7.72449,8.24346,-3.48862,-3.26617,9.45407,9.60191,-0.0706632,-1.41418,1.07133,-0.554297,-0.538527,-1.39203,-0.219766,-0.258393,-1.47198,-380.65,49.392,-5.61184,4.78,0.0935232,202.213,-50.5725,220.614,34.741
454.931,0.976708,0.00385826,5,31,0,-447.375,0.0478102,-0.122115,-2.42589,7.74017,8.22348,-3.47579,-3.22822,9.52935,9.53896,-1.28269,-1.32955,0.103715,-0.939116,0.0929422,0.173175,-0.0735234,2.78473,1.73438,-199.242,-8.39235,31.2523,38.131,-35.3677,137.18,18.3719,179.536,-118.303
