# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=12345
# chain_id=1
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC9_vehicle_1.csv
# diagnostic_file=stan_diagnostics/LCC9_vehicle_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
-40714.4,1,0.00195312,1,1,0,168499,-1.87077,1.12594,-1.05291,-1.88559,24.7879,43.0543,502.847,15.6959,-4336.42,-7472.52,-81398.7,-2538.58
-40714.4,0,14.3855,0,1,1,40714.6,-1.87077,1.12594,-1.05291,-1.88559,-0.0131508,0.289909,-0.4594,-0.135635,-4336.42,-7472.52,-81398.7,-2538.58
-40714.4,0,2.43117,0,1,1,40716.2,-1.87077,1.12594,-1.05291,-1.88559,0.380758,-0.0539339,1.76115,0.49443,-4336.42,-7472.52,-81398.7,-2538.58
-40714.4,0,0.239791,0,1,1,40716.3,-1.87077,1.12594,-1.05291,-1.88559,1.62968,-0.837563,0.508854,-0.218947,-4336.42,-7472.52,-81398.7,-2538.58
-40714.4,0,0.0186273,0,1,1,40716.7,-1.87077,1.12594,-1.05291,-1.88559,0.08492,1.48043,1.52099,-0.372569,-4336.42,-7472.52,-81398.7,-2538.58
-13985,1,0.00130482,4,15,0,39859.3,-1.84106,1.17026,-0.523325,-1.8589,-12.4113,-19.7262,-226.081,-9.63536,-1473.94,-2592.76,-27727.3,-857.16
-12704.2,1,0.00189104,1,1,0,13924.7,-1.83814,1.17498,-0.475506,-1.85672,-2.81027,-4.72857,-49.0626,-1.88549,-1337.36,-2356.2,-25145.1,-777.15
-5538.66,1,0.00305706,2,3,0,12246.2,-1.80322,1.21287,-0.0564686,-1.84549,8.18456,10.6107,114.999,3.26768,-567.367,-1021.38,-10616.3,-327.229
-2160.41,1,0.00530085,2,3,0,5291.59,-1.76018,1.28124,0.453708,-1.8241,5.70633,9.44977,78.3052,2.96341,-200.203,-368.125,-3566.38,-114.711
-1674.03,1,0.00961161,1,1,0,2090.91,-1.7424,1.28979,0.614505,-1.8365,2.54308,2.17488,28.6664,-0.894181,-144.242,-267.579,-2483.88,-82.5357
-1045.45,1,0.0179176,2,3,0,1495.79,-1.74564,1.32724,1.00241,-1.84076,-0.422839,-3.18976,-29.8382,-0.111681,-67.354,-122.738,-914.068,-38.9967
-846.557,1,0.0339435,1,1,0,953.614,-1.68222,1.3997,1.49087,-1.82124,-2.27402,-2.93101,-14.1306,-0.822406,-23.9028,-46.9134,15.3155,-14.5783
-846.557,6.41992e-06,0.0648221,1,3,1,850.121,-1.68222,1.3997,1.49087,-1.82124,-0.101498,1.68283,1.93987,0.72269,-23.9028,-46.9134,15.3155,-14.5783
-842.442,0.999665,0.0053964,5,31,0,848.029,-1.63901,1.46705,1.48839,-1.82961,-1.71947,-2.83756,0.405596,0.0258799,-23.7963,-46.9563,20.2761,-14.3058
-841.792,0.997107,0.0104815,3,7,0,843.025,-1.6424,1.48252,1.493,-1.82129,-0.412803,-1.33788,0.510223,-0.495772,-23.6872,-46.3926,27.5042,-14.232
-824.159,0.97171,0.0201577,5,31,0,844.163,-1.44952,1.75475,1.4405,-1.88332,-3.15742,-5.44374,-0.228241,-0.595033,-25.083,-50.6302,-4.09511,-14.0922
-160.481,0.746529,0.0356918,4,31,0,787.614,1.2,9.03835,-0.114687,0.0470414,8.73058,30.9653,-13.3773,6.34372,-5.75313,34.2706,67.6942,-12.3127
-151.817,1,0.031605,4,15,0,162.173,1.7484,9.0078,-0.419433,0.502459,-2.80214,-0.486479,-2.31198,2.69786,29.1518,65.5955,-11.5956,-6.11663
-143.274,0.950769,0.0605864,2,3,0,152.645,1.54117,8.74831,-0.428556,0.625354,3.11601,-2.63373,-0.512718,-1.35389,9.98877,-35.4966,-12.8043,-9.81801
-143.274,0.0247059,0.0993136,2,3,0,144.971,1.54117,8.74831,-0.428556,0.625354,1.22698,0.570289,-0.697645,-1.0376,9.98877,-35.4966,-12.8043,-9.81801
-109.702,0.967943,0.0102238,6,127,0,145.404,0.688175,8.88491,-0.39109,3.05166,-1.51769,-2.09684,-1.50091,7.9026,4.68492,4.31629,9.27972,-11.6423
-97.1164,0.915063,0.017793,5,55,1,111.57,0.186431,8.91181,-0.407319,3.8678,1.71887,-0.144987,-0.0946724,-5.09142,3.41293,4.81322,9.20461,-14.9895
-98.3613,0.986818,0.0263016,3,7,0,98.5209,0.173755,8.89736,-0.378169,3.81015,-0.253306,-0.185691,-0.44757,-0.142236,1.8149,-1.77008,20.1351,-15.1754
-93.4905,0.995217,0.0476166,4,15,0,98.8339,0.151963,8.93367,-0.416919,4.11828,0.509848,0.11837,-0.607028,-3.16926,8.27153,13.4734,9.9214,-13.1958
-78.3715,0.133174,0.0874785,3,7,0,96.5206,-0.412075,8.91891,-0.487378,4.72797,-2.85706,2.31868,-0.604715,4.73219,9.96027,-9.08773,-2.40144,-20.0351
-77.449,0.996038,0.0135535,4,15,0,79.4571,-0.505743,8.99531,-0.467384,4.7363,1.49003,0.186281,-0.0597724,-1.3258,12.3096,15.4248,5.53466,-21.0366
-60.5221,0.940482,0.0249848,5,31,0,80.3451,-0.649995,8.96138,-0.564746,5.55401,-4.01756,-0.624292,-1.03285,4.6956,32.1537,7.36065,-9.44906,-11.1746
-55.3542,0.847422,0.0390067,2,3,0,62.3717,-0.820608,8.93504,-0.577024,5.55602,-3.37545,0.193584,1.36906,0.854061,30.2352,-16.9581,-5.06676,-15.5006
-51.7529,0.717032,0.0466496,2,3,0,59.2668,-0.906168,8.97914,-0.528603,5.61721,3.24769,1.25931,-1.00472,-1.37297,31.6137,-3.15175,20.7579,-14.3023
-51.925,0.994513,0.0388068,2,3,0,53.3971,-0.919421,8.994,-0.5727,5.54584,-1.43617,0.142977,-0.880837,-0.292125,33.3112,1.55364,1.89062,-17.2307
-51.925,0.0504928,0.0692381,3,7,0,56.1346,-0.919421,8.994,-0.5727,5.54584,1.59942,2.32069,-0.661797,0.193881,33.3112,1.55364,1.89062,-17.2307
-51.4034,0.993901,0.0094215,4,15,0,53.0184,-0.948511,9.04,-0.539391,5.56421,1.436,-0.628897,-0.426392,-0.768549,35.2779,18.7325,16.1482,-15.812
-29.48,0.909106,0.0168167,4,15,0,58.7543,-1.40959,9.02278,-0.621209,5.78187,-5.87227,-2.17392,-3.35311,2.84531,28.7864,-29.6959,21.3682,-30.582
-20.0275,0.957997,0.0237055,3,7,0,30.657,-1.54257,9.17321,-0.664883,5.89228,3.38737,-0.852134,1.65324,-2.51501,48.5974,29.9759,20.1104,-29.8627
-16.7688,0.744308,0.0378265,3,7,0,23.5066,-1.56661,9.18477,-0.649029,5.99845,-1.66416,-0.369251,-0.186403,3.24578,54.3927,35.6785,32.016,-23.2252
-14.842,1,0.0341547,1,1,0,16.9899,-1.58326,9.17771,-0.657083,6.02102,-1.41878,-0.73684,-0.784481,1.06044,54.5365,31.0495,32.1291,-23.3958
-3.56918,0.68685,0.0601771,2,3,0,16.0463,-1.6732,9.15117,-0.75036,6.15461,-3.41798,-0.792524,-1.98273,2.95168,63.9233,11.6809,14.3805,-24.3203
-7.42466,0.818522,0.0467201,1,1,0,7.76216,-1.62218,9.15211,-0.77225,6.12999,0.527885,0.461444,0.428111,-0.0108569,69.3391,20.616,-1.73061,-23.021
-4.17861,0.7819,0.0510605,1,1,0,8.61211,-1.6642,9.15737,-0.808584,6.15315,-2.7034,-0.366306,-0.453167,1.10412,73.6595,18.3836,-10.1226,-25.4805
-5.1714,0.855966,0.0507542,2,3,0,6.60645,-1.65952,9.08457,-0.806885,6.13986,-1.39916,-0.742954,0.320333,0.507794,58.7647,-27.252,-11.3039,-30.3252
46.4314,0.695266,0.0608424,2,3,0,7.58343,-2.26079,9.31413,-0.902184,6.36845,-7.94579,2.89209,-1.78054,5.77578,35.6752,-7.19787,54.6076,-77.5336
55.2424,0.940435,0.0485792,1,1,0,-45.976,-2.26242,9.31812,-0.95696,6.44949,-1.51861,0.0915553,-2.34323,3.2753,61.1336,-0.383522,50.0486,-66.1662
55.2424,1.07844e-06,0.0716905,1,1,0,-51.4694,-2.26242,9.31812,-0.95696,6.44949,1.57384,1.8859,-0.0096677,-1.22975,61.1336,-0.383522,50.0486,-66.1662
72.722,0.977786,0.0102634,4,15,0,-53.4826,-2.4164,9.36499,-0.985655,6.56229,-3.87263,0.577239,-2.55855,4.07456,35.825,3.60917,74.8381,-78.3807
138.259,0.921902,0.0166885,3,7,0,-69.4627,-2.66003,9.42074,-1.33688,6.90203,4.0171,0.897652,7.05014,-8.42289,65.8915,10.0333,75.5096,-80.3347
