# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=123456
# chain_id=1
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC1_treatment_1.csv
# diagnostic_file=stan_diagnostics/LCC1_treatment_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
-1541.38,1,0.0078125,1,1,0,20683.4,0.602223,0.792983,0.543251,-1.14728,2.5073,26.5237,193.838,0.985934,9.89206,-353.722,-2241.44,-4.68009
-1541.38,0,14.3855,0,1,1,1541.96,0.602223,0.792983,0.543251,-1.14728,0.879579,-0.534898,-0.319928,0.0313918,9.89206,-353.722,-2241.44,-4.68009
-1541.38,0,2.43117,0,1,1,1544.27,0.602223,0.792983,0.543251,-1.14728,0.623308,0.476166,-1.82264,-1.3593,9.89206,-353.722,-2241.44,-4.68009
-1541.38,0,0.239791,0,1,1,1541.7,0.602223,0.792983,0.543251,-1.14728,-0.180628,-0.30496,0.719855,-0.120928,9.89206,-353.722,-2241.44,-4.68009
-971.161,1,0.0186273,2,3,0,1384.38,0.565619,0.875934,0.925375,-1.14355,-2.0845,5.97306,28.0423,0.227201,12.8266,-163.183,-808.283,-2.88662
-823.396,1,0.0257257,2,7,0,929.032,0.534872,0.956048,1.19285,-1.11066,1.37164,-4.33408,-13.7441,-1.30657,13.7179,-94.8407,-260.213,-2.18086
-794.732,0.94106,0.0404064,3,7,0,813.06,0.576973,1.03904,1.37328,-1.02645,-0.733553,-3.38079,-4.49396,-2.11964,15.2641,-65.6765,-1.40474,-1.76267
-246.13,0.512014,0.0572051,4,15,0,749.646,0.442771,8.16707,0.00365491,-1.5759,-4.14318,-30.4371,7.82531,-1.48791,-126.264,19.0793,-43.1997,-42.4166
-136.293,0.89732,0.0220154,3,15,0,246.66,1.62594,7.87855,-0.302628,-1.18184,-11.5543,2.0885,8.0657,-4.22059,-12.6702,-5.84374,104.019,-13.5074
-130.004,1,0.0290634,3,7,0,141.012,1.62462,7.80848,-0.38789,-1.21709,-0.330962,2.04222,4.09599,0.97923,-25.8861,-25.3675,79.9857,-16.0781
-114.631,0.436162,0.0542622,3,7,0,129.912,2.21712,7.95264,-1.03351,-1.12127,4.21596,-1.45013,-2.79626,1.69292,83.733,125.245,-78.6999,-1.77727
-96.8332,1,0.0172963,3,7,0,116.26,1.9826,7.79425,-0.881505,-1.02399,-3.84079,-2.9872,3.48886,1.73388,-23.8428,-49.7467,-17.1622,-14.1699
-80.0222,0.86054,0.033098,5,31,0,98.8321,1.85584,7.83422,-0.917566,0.409195,2.19625,-2.02773,0.317147,-5.3464,9.34918,-15.5893,-18.9004,-9.43959
-81.0197,0.968492,0.0410392,3,7,0,81.7363,1.79603,7.84747,-0.789399,0.309727,-0.148984,0.619902,0.724558,-0.708404,-1.3591,-6.60039,22.0239,-11.1371
-81.0197,0.00170603,0.0715267,1,1,0,83.033,1.79603,7.84747,-0.789399,0.309727,1.0478,-1.56999,-0.0435186,0.67968,-1.3591,-6.60039,22.0239,-11.1371
-80.5668,1,0.00622018,5,31,0,81.3021,1.80754,7.87495,-0.83294,0.302798,-0.23487,0.0913962,1.12682,-0.370832,-3.5768,15.6885,6.01878,-11.5022
-77.5792,0.999134,0.0121136,5,31,0,81.1259,1.78336,7.86968,-0.856424,0.560134,-1.16175,-0.247147,0.897696,2.20837,-0.331454,12.9698,-0.480475,-10.9786
-61.1619,0.907372,0.0233878,5,39,0,80.5482,1.42191,7.91712,-0.798919,2.2073,-2.22048,-0.556405,0.324106,5.78166,0.904318,43.1353,14.5247,-11.0683
-58.4989,0.99722,0.0339401,2,7,0,62.2686,1.4511,7.79929,-0.858954,2.40434,-0.0292965,-0.316885,-1.2372,2.43052,6.60943,-44.8986,2.14322,-9.62667
-57.3082,0.902474,0.0642703,3,7,0,58.1391,1.40302,7.89144,-0.855527,2.43469,0.639227,0.637447,0.202992,-0.897538,1.59095,29.7116,-1.32864,-10.9331
-58.2211,0.143877,0.0909316,2,6,1,60.4936,1.56094,7.87223,-0.910706,2.57353,-0.482112,1.0813,0.116581,-1.76912,27.5938,19.1357,-10.7826,-5.32886
-55.6091,0.999226,0.0135932,4,31,0,59.3415,1.32415,7.83408,-0.870709,2.565,-2.39978,0.549465,1.07989,0.487598,-5.4801,-17.221,-8.19887,-12.8914
-55.0326,0.999338,0.0257748,3,7,0,55.8849,1.30418,7.87707,-0.868029,2.61814,-0.0112556,0.206333,0.472533,1.19939,-5.31987,18.3279,-9.08198,-12.9793
-56.3082,0.694033,0.0484005,3,7,0,63.7805,1.22081,7.80987,-0.828762,2.61472,-2.20461,0.327305,1.97051,-2.46863,-11.2967,-36.6855,0.475923,-14.8595
-12.3267,0.955698,0.0373243,5,31,0,59.7403,0.140722,7.81603,-0.902221,5.99991,5.14886,0.419027,0.449507,-8.2425,10.2106,-39.7369,-1.53243,-9.74609
-11.5135,0.548583,0.0610834,4,15,0,15.1076,0.00679584,7.86924,-0.959059,5.93376,-2.48018,0.698259,-0.149336,-0.725947,9.41895,5.65611,-25.5768,-11.6919
-9.59101,0.986324,0.0312959,2,7,0,12.4817,-0.0559167,7.86672,-0.830332,6.06908,1.13631,0.318324,-0.824246,-1.92598,9.91119,-1.78846,25.8354,-9.94152
-1.56148,1,0.0554674,3,7,0,9.70353,-0.478418,7.88641,-0.846908,6.39184,2.99847,-0.351459,-0.233433,-2.66744,11.683,6.02097,24.6649,-9.49855
-1.56148,9.02565e-09,0.101158,1,1,0,2.45499,-0.478418,7.88641,-0.846908,6.39184,-0.865304,-1.01691,0.0257498,0.0590756,11.683,6.02097,24.6649,-9.49855
2.7971,0.881304,0.0115415,5,60,1,3.30161,-0.84784,7.90324,-0.957661,6.28336,3.15034,-0.5087,-0.94421,-1.05945,16.2934,6.22395,-11.925,-14.9983
4.5858,0.964895,0.0152559,4,15,0,-1.18018,-0.935393,7.93159,-0.875382,6.36735,1.60078,-1.06889,0.835917,-1.5516,17.5557,21.6899,20.8431,-11.7707
12.4437,0.776469,0.0251891,4,15,0,0.883972,-1.14508,7.88301,-1.01206,6.79913,2.79354,-3.15968,0.742352,-2.8839,23.0065,-14.9057,-21.6117,-1.36671
24.9042,0.853549,0.0248294,4,15,0,-9.76627,-1.58197,7.93693,-0.944755,6.7201,5.28176,-0.362206,-1.4122,0.503331,32.6736,-8.54314,26.8316,-0.855281
34.691,0.969343,0.030077,3,7,0,-24.3329,-1.78227,7.97183,-1.09381,6.64399,-4.31546,0.470058,-1.26329,-0.525574,52.8494,-4.5314,-10.6778,-2.17251
33.7782,1,0.0493641,1,1,0,-33.1837,-1.76258,7.98114,-1.06964,6.62496,0.870818,-0.0457475,-0.576154,0.310914,51.4467,5.78793,-3.5027,-3.02429
33.7782,0.00311906,0.0871218,1,3,1,-31.03,-1.76258,7.98114,-1.06964,6.62496,0.970019,-1.48835,-0.949051,1.19984,51.4467,5.78793,-3.5027,-3.02429
33.02,0.993646,0.011311,4,15,0,-31.6352,-1.7477,7.97721,-1.06173,6.61302,1.03449,-0.364315,0.708803,-1.0317,49.6775,2.87986,-1.70777,-4.25397
34.4945,0.877351,0.0196833,2,7,0,-28.2897,-1.79352,8.0229,-1.06179,6.62444,-2.90061,1.9135,0.00440561,0.578405,58.1805,41.4383,-0.740401,0.219122
40.0553,0.946047,0.0251878,3,7,0,-33.4406,-1.89219,7.97554,-1.09289,6.56224,-3.34122,-0.786308,-0.620697,-1.03053,53.0121,-28.1048,1.3067,-11.6424
39.8519,0.680317,0.0382492,3,7,0,-38.5968,-1.90168,7.96837,-1.12438,6.53818,-1.2861,0.595069,-0.627877,-0.328203,54.2832,-40.9249,-10.2158,-15.7266
38.7505,1,0.0294642,2,3,0,-38.3599,-1.87435,7.97456,-1.11346,6.5429,0.125234,0.622965,0.497629,0.360338,54.4629,-28.0122,-8.63568,-13.5834
35.1376,0.12911,0.0508393,2,3,0,-32.8945,-1.85277,7.92257,-1.15033,6.61532,0.847982,-0.941248,-0.00247128,-1.69739,50.0577,-77.2625,-28.6247,-10.7356
39.7394,0.989746,0.00992636,3,7,0,-31.7759,-1.88823,7.95738,-1.106,6.61879,2.29768,-2.26194,-2.33771,-0.257732,52.2744,-41.1337,-4.35134,-7.42857
41.701,0.972416,0.0166915,3,7,0,-38.5961,-1.91755,8.02673,-1.06034,6.61102,2.02223,-1.27691,-0.697131,0.0616584,60.1087,21.2713,14.1244,-2.18418
47.9049,1,0.0266916,2,3,0,-41.3211,-2.00895,7.999,-1.10033,6.65551,-3.33047,-0.422242,-1.0682,0.869603,60.6879,-17.3405,11.9001,-1.50639
62.1807,0.376279,0.0453413,2,3,0,-45.3391,-2.22212,8.0682,-1.10284,6.56662,-5.04014,2.46346,-1.44137,-0.365964,69.3289,-7.82322,38.0479,-13.3004
99.6404,0.89755,0.016872,3,7,0,-60.0871,-2.57086,8.1559,-1.30042,6.59019,7.04585,-3.5886,3.59409,-1.91496,91.941,-10.5526,36.9304,-34.9058
239.196,0.978174,0.0222982,4,15,0,-98.2806,-3.64564,8.36221,-1.93114,7.04137,12.0291,-3.37661,9.8251,-5.40341,-7.5131,-94.3569,86.0401,-53.8524
239.196,0.0177602,0.0355857,2,5,1,-237.086,-3.64564,8.36221,-1.93114,7.04137,1.14668,-1.4611,-0.818287,0.319261,-7.5131,-94.3569,86.0401,-53.8524
241.739,0.986318,0.00577713,3,7,0,-238.115,-3.63906,8.39934,-1.95253,7.0688,-0.329287,1.66256,-1.90971,0.853059,81.3875,37.8544,82.2044,65.3799
255.518,0.997392,0.00942058,4,15,0,-240.034,-3.65919,8.38555,-2.14799,7.03572,0.850235,-1.46713,5.21664,-0.938012,3.94982,-78.7599,46.7893,-93.2816
264.069,0.950015,0.01566,3,7,0,-254.407,-3.73341,8.40954,-2.27803,7.06034,-2.38083,1.99496,-3.04539,0.634027,-32.638,-131.129,20.7842,-112.636
264.069,0.0255272,0.0231558,1,3,0,-263.356,-3.73341,8.40954,-2.27803,7.06034,-0.525375,0.979624,0.101407,-0.425164,-32.638,-131.129,20.7842,-112.636
272.736,0.999343,0.00402087,5,39,0,-262.622,-3.89139,8.50839,-2.32413,7.09428,-3.79387,1.80439,-1.45144,0.68698,-69.709,-107.499,19.0848,-134.25
