# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=42
# chain_id=4
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC1_theta_logistic_4-14-20_4.csv
# diagnostic_file=stan_diagnostics/LCC1_theta_logistic_4-14-20_diagnostics_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
-2985.56,1,0.0078125,1,1,0,8267.26,0.392732,-0.605575,0.123131,1.39147,1.63,-9.88713,-102.287,-0.541428,17.1095,-626.821,-5745.33,-5.73215
-2985.56,0,14.3855,0,1,1,2987.68,0.392732,-0.605575,0.123131,1.39147,-1.11316,1.03402,-1.3557,0.308032,17.1095,-626.821,-5745.33,-5.73215
-2985.56,0,2.43117,0,1,1,2986.58,0.392732,-0.605575,0.123131,1.39147,-0.648141,0.302447,-1.22824,-0.109033,17.1095,-626.821,-5745.33,-5.73215
-2985.56,0,0.239791,0,1,1,2987.46,0.392732,-0.605575,0.123131,1.39147,-0.837777,-1.64986,-0.275315,0.545542,17.1095,-626.821,-5745.33,-5.73215
-579.69,1,0.0186273,1,1,0,2313.18,0.4114,-0.514644,1.09156,1.3907,0.866778,5.72289,58.596,-0.0252411,14.5382,-90.3261,-709.303,-1.74564
-440.506,1,0.0257257,2,3,0,555.374,0.423418,-0.522398,1.36212,1.3562,0.280316,0.38085,15.0919,-1.32223,14.5272,-53.0417,-355.661,-1.4641
-374.445,1,0.0404064,2,3,0,422.25,0.403868,-0.479368,1.62938,1.2934,0.769228,-1.69826,-9.4762,1.52802,14.1259,-31.3481,-141.652,-1.30115
-337.63,1,0.0687243,3,7,0,366.909,0.26021,0.549446,1.69118,1.49483,-2.98993,6.50238,2.58807,0.798971,12.0713,-24.7606,-53.7293,-1.30333
-337.63,0.0176223,0.122801,1,3,0,338.358,0.26021,0.549446,1.69118,1.49483,-0.342488,-0.848253,0.783544,-0.0679475,12.0713,-24.7606,-53.7293,-1.30333
-319.607,0.998112,0.0101617,5,47,0,340.729,-0.158037,1.3283,1.91967,1.58784,3.0005,-5.59853,1.24635,-0.587054,7.57047,-14.5439,54.0596,-1.27864
-316.775,0.999656,0.0188317,2,3,0,319.798,-0.161547,1.34062,1.86276,1.57158,-0.23543,0.621111,-2.33208,-0.407532,7.54084,-16.1482,38.462,-1.30275
-305.589,0.970543,0.0356343,4,15,0,319.495,-0.592029,1.77666,1.83595,1.95192,-2.332,4.47347,0.034175,1.53675,4.57155,-15.9507,44.2445,-1.41462
-300.73,1,0.0620133,2,3,0,305.578,-0.634439,1.86609,1.73552,1.92453,0.817827,-2.03157,2.17816,0.395179,4.31952,-19.0122,18.0138,-1.50169
-296.974,0.286787,0.118732,3,7,0,300.983,-0.580909,2.03701,1.62443,1.94729,0.179997,2.8004,-0.246013,0.286606,4.56235,-22.923,-11.6162,-1.59805
-192.663,0.992788,0.0245568,5,31,0,299.61,-0.557354,6.06634,1.0448,1.24995,-0.872953,14.1367,-3.62346,-0.3968,-2.78172,-28.4953,20.9942,-5.07556
-87.3219,0.927046,0.0463496,4,31,0,186.896,-0.0696196,9.22619,-0.0807982,2.38632,-1.82162,-12.1556,5.15242,-4.63941,4.97271,46.5994,-42.4448,-15.2203
49.0081,0.995614,0.0711188,4,15,0,73.4311,-3.94084,9.89615,-0.956425,7.71874,11.6968,-8.31897,5.84459,-2.16771,-28.5971,33.741,33.1826,68.8777
49.0081,2.15388e-22,0.134074,1,2,1,-47.5625,-3.94084,9.89615,-0.956425,7.71874,1.21898,-0.520967,-0.668207,0.82913,-28.5971,33.741,33.1826,68.8777
88.2682,0.813291,0.0122739,4,27,1,-46.9087,-3.66069,9.71468,-1.19673,7.41272,-4.35866,2.57278,4.55694,6.02796,-56.5525,-7.79133,53.2969,25.0887
195.708,0.844593,0.0134802,4,19,1,-89.0959,-3.00561,9.51675,-2.39087,6.84947,3.30169,-5.3269,-12.1994,-5.01221,189.529,-96.8476,54.7448,16.0384
219.403,0.721433,0.0162567,3,9,1,-196.843,-3.22936,9.6084,-2.69189,7.044,-1.07503,2.33076,-6.06651,-1.31469,-135.54,-48.3023,48.6432,146.197
219.403,0.391451,0.0135978,2,3,0,-218.625,-3.22936,9.6084,-2.69189,7.044,-0.973917,0.0286054,-0.649965,-0.427543,-135.54,-48.3023,48.6432,146.197
