# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=42
# chain_id=3
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_treatment_3.csv
# diagnostic_file=stan_diagnostics/LV_treatment_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
-370.312,1,0.0078125,1,1,0,3056.36,0.351494,0.00446386,-2.68568,7.6432,7.94282,-4.31269,-3.10927,8.66818,9.56004,-31.3497,-1.75217,-45.541,38.3629,-18.3212,16.5043,0.78002,14.1338,5.66546,3492.24,-302.283,-1498.87,-996.832,-831.115,-132.711,545.308,-2151.37,824.377
-370.312,0,14.3855,0,1,1,373.354,0.351494,0.00446386,-2.68568,7.6432,7.94282,-4.31269,-3.10927,8.66818,9.56004,1.40253,-1.10494,-0.443733,1.32825,0.0479531,-0.0173184,-0.942008,0.150342,0.148544,3492.24,-302.283,-1498.87,-996.832,-831.115,-132.711,545.308,-2151.37,824.377
-370.312,0,2.43117,0,1,1,380.101,0.351494,0.00446386,-2.68568,7.6432,7.94282,-4.31269,-3.10927,8.66818,9.56004,-0.351287,2.07572,1.64931,0.847014,-0.171051,-0.578931,-2.95405,-0.26311,1.59631,3492.24,-302.283,-1498.87,-996.832,-831.115,-132.711,545.308,-2151.37,824.377
-370.312,0,0.239791,0,1,1,374.023,0.351494,0.00446386,-2.68568,7.6432,7.94282,-4.31269,-3.10927,8.66818,9.56004,0.851845,-1.83759,-0.740259,-0.0832693,-1.24423,0.490037,0.846395,-0.500786,0.0962227,3492.24,-302.283,-1498.87,-996.832,-831.115,-132.711,545.308,-2151.37,824.377
-370.312,0,0.0186273,0,1,1,375.171,0.351494,0.00446386,-2.68568,7.6432,7.94282,-4.31269,-3.10927,8.66818,9.56004,-0.228965,0.670529,0.836919,-1.20629,-0.882944,1.46193,-1.11672,-1.18923,-1.21745,3492.24,-302.283,-1498.87,-996.832,-831.115,-132.711,545.308,-2151.37,824.377
-316.523,1,0.00130482,2,3,0,374.589,0.33871,0.00184754,-2.68334,7.64197,7.94251,-4.31126,-3.11029,8.67271,9.55997,-9.20804,-0.628282,2.77153,0.72329,1.01041,0.745323,-1.03678,4.3606,-1.03859,3169.25,-275.687,-1390.66,-854.298,-884.503,-161.447,458.563,-1919.31,722.299
-191.259,1,0.00189104,2,3,0,318.843,0.315863,0.00717409,-2.67279,7.64786,7.95535,-4.30792,-3.11077,8.69218,9.56188,-11.1036,1.87589,5.1078,2.70298,5.06716,1.21462,-0.833069,8.15822,-0.748686,2399.88,-228.376,-1139.12,-465.264,-892.629,-181.17,315.973,-1409.86,583.777
-44.0454,1,0.00305706,2,3,0,185.597,0.263761,0.0120656,-2.65615,7.65822,7.97262,-4.30306,-3.11398,8.71155,9.55298,13.2187,-1.30105,-5.56503,-1.72567,-5.67712,-1.25928,0.939788,-5.81575,2.05138,1092.01,-131.882,-830.868,217.969,-941.959,-127.205,49.0569,-594.765,-4.22574
64.0742,1,0.00530085,2,3,0,40.5497,0.212515,0.00682648,-2.62072,7.63837,8.01279,-4.29706,-3.11662,8.75368,9.55563,6.98272,-0.0965463,-6.96194,4.28769,-8.16546,-0.828914,0.214239,-5.0915,-0.544153,83.9969,-104.885,-606.283,554.695,-730.506,-4.07672,-18.4631,-37.2792,-69.3174
181.966,1,0.00961161,2,3,0,-64.7114,0.196967,0.0537943,-2.49954,7.59524,8.12789,-4.28976,-3.15203,8.73964,9.55886,-3.01236,3.4762,10.356,-4.99712,8.88726,0.790022,-1.11428,0.338876,-0.412497,262.363,-100.851,-324.741,125.728,-90.8171,-58.1862,-84.4002,-127.458,-72.9109
