# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=42
# chain_id=2
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_treatment_2.csv
# diagnostic_file=stan_diagnostics/LV_treatment_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
-347.842,1,0.0078125,3,7,0,3072.77,0.349947,0.00639745,-2.67585,7.65177,7.95633,-4.30231,-3.09761,8.65832,9.54376,31.1837,1.94131,46.5223,-37.617,19.6744,-15.2734,0.584346,-15.4323,-5.95491,3484.03,-287.345,-1427.69,-906.877,-734.696,-107.75,578.049,-2142.1,364.854
-347.842,0,14.3855,0,1,1,353.988,0.349947,0.00639745,-2.67585,7.65177,7.95633,-4.30231,-3.09761,8.65832,9.54376,0.320842,2.41876,-1.3816,1.11623,1.25563,0.126836,-1.05074,-0.378692,0.586642,3484.03,-287.345,-1427.69,-906.877,-734.696,-107.75,578.049,-2142.1,364.854
-347.842,0,2.43117,0,1,1,350.764,0.349947,0.00639745,-2.67585,7.65177,7.95633,-4.30231,-3.09761,8.65832,9.54376,0.567034,-1.04627,-0.814877,0.145867,1.0167,0.971435,-0.32505,1.28474,0.0975675,3484.03,-287.345,-1427.69,-906.877,-734.696,-107.75,578.049,-2142.1,364.854
-347.842,0,0.239791,0,1,1,351.275,0.349947,0.00639745,-2.67585,7.65177,7.95633,-4.30231,-3.09761,8.65832,9.54376,-0.827845,1.99348,-0.289397,-0.271475,0.544223,-0.166382,0.114092,-0.52125,-1.19992,3484.03,-287.345,-1427.69,-906.877,-734.696,-107.75,578.049,-2142.1,364.854
-347.842,0,0.0186273,0,1,1,351.359,0.349947,0.00639745,-2.67585,7.65177,7.95633,-4.30231,-3.09761,8.65832,9.54376,0.985458,-0.220475,0.561814,0.146769,-1.78383,-0.64912,-1.13361,0.0858989,0.883291,3484.03,-287.345,-1427.69,-906.877,-734.696,-107.75,578.049,-2142.1,364.854
-223.034,1,0.00130482,2,3,0,347.289,0.326212,0.00698771,-2.66646,7.65948,7.9609,-4.30158,-3.09694,8.67474,9.53996,-11.9634,0.640018,4.90279,3.28671,2.70055,0.44537,-0.76635,7.77058,-1.29552,2648.18,-220.881,-1168.54,-492,-818.275,-147.061,397.144,-1582.72,21.8683
-131.808,1,0.00189104,2,3,0,224.945,0.303546,0.00683023,-2.65611,7.65973,7.96558,-4.3012,-3.09491,8.69263,9.54174,10.1733,-0.325821,-4.71628,-0.636505,-2.83177,-0.39827,0.0913764,-7.17861,-0.55324,1983.78,-180.034,-985.626,-198.403,-853.691,-159.324,294.965,-1148.17,-86.9628
-35.2922,1,0.00305706,2,3,0,133.388,0.265115,0.0145271,-2.65205,7.67049,7.98302,-4.29989,-3.09414,8.71591,9.55306,-10.4578,1.75334,3.32795,1.29072,5.44814,0.607094,-0.596859,6.13842,1.70935,1027.7,-148.374,-809.203,329.678,-841.81,-108.426,194.839,-557.261,59.9023
117.953,1,0.00530085,2,3,0,34.6385,0.176387,0.043518,-2.58982,7.62931,8.07215,-4.29768,-3.10791,8.76055,9.55778,5.51658,-2.66928,-8.7797,8.16751,-10.6019,0.0828435,1.49896,-2.78857,-1.18467,-354.174,-106.324,-489.375,686.925,-392.007,88.5085,77.0647,168.383,-49.2723
147.342,1,0.00961161,2,3,0,-120.841,0.177853,0.0408262,-2.56437,7.59441,8.07488,-4.31061,-3.10747,8.74532,9.55148,0.113056,-0.217423,-4.63123,4.88258,-1.90643,1.26253,0.447572,1.45154,-0.344936,55.2599,-103.515,-412.676,260.377,-337.561,-17.2653,102.609,-27.7205,-207.997
