# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=123456
# chain_id=4
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC9_treatment_4.csv
# diagnostic_file=stan_diagnostics/LCC9_treatment_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
-954.588,1,0.03125,2,3,0,967.923,-0.859037,-0.832886,1.67334,1.32307,0.688972,-1.89302,4.59872,1.21024,4.81806,-51.6631,55.3787,-1.26902
-954.588,0,14.3855,0,1,1,955.765,-0.859037,-0.832886,1.67334,1.32307,0.207002,-1.19833,0.0705158,0.932884,4.81806,-51.6631,55.3787,-1.26902
-954.588,0,2.43117,0,1,1,955.116,-0.859037,-0.832886,1.67334,1.32307,-0.301863,-0.370461,0.859488,0.29717,4.81806,-51.6631,55.3787,-1.26902
-954.588,0,0.239791,0,1,1,955.102,-0.859037,-0.832886,1.67334,1.32307,0.778798,-0.19135,0.104754,-0.611427,4.81806,-51.6631,55.3787,-1.26902
-938.224,0.997315,0.0186273,3,7,0,956.93,-0.820751,-0.541288,1.6427,1.14059,-0.0307754,5.94952,0.538724,-1.31324,4.78964,-53.1686,42.8433,-1.35442
-927.123,0.998628,0.0255206,2,7,0,940.845,-0.867272,-0.360568,1.59743,1.12549,-1.03104,4.95489,-1.32818,-0.259527,4.66215,-56.9272,-0.56338,-1.4578
-929.319,0.922372,0.0399076,2,3,0,929.38,-0.872303,-0.39739,1.58744,1.1242,0.219974,-0.240434,-0.127536,0.00312288,4.70599,-58.2901,-18.9285,-1.45847
-929.319,0.0375229,0.0532951,2,3,0,931.402,-0.872303,-0.39739,1.58744,1.1242,-1.02755,1.21405,1.27216,-0.135801,4.70599,-58.2901,-18.9285,-1.45847
-931.412,0.992108,0.00461393,4,15,0,931.985,-0.8662,-0.403499,1.55032,1.14286,0.153766,0.6336,-0.488063,0.694441,4.85434,-62.7585,-74.2723,-1.47835
-698.573,0.979815,0.00815467,6,63,0,936.364,-0.933777,3.39924,1.19713,0.526862,0.227571,-21.2756,4.63778,1.16952,-10.2264,-70.563,-36.6474,-8.352
-686.987,0.999295,0.0142584,4,15,0,699.122,-0.93092,3.56124,1.24193,0.617593,-0.381719,-4.62905,-0.522608,-1.55662,-9.19691,-62.7509,33.4219,-7.69998
-665.216,0.981878,0.0269583,3,7,0,688.339,-0.965752,3.87857,1.16448,0.65198,-0.0434168,-6.56386,1.5974,-0.780175,-13.5007,-68.3261,-5.31161,-9.55697
-646.766,0.714419,0.0486603,2,3,0,667.198,-0.856748,4.14186,1.14115,0.540204,-1.76601,-5.84932,1.74311,0.702204,-14.5525,-68.121,8.1044,-9.69184
-513.751,0.861817,0.0380952,3,7,0,650.228,-0.438816,5.69537,0.874211,1.24874,-3.33229,-15.3427,3.0349,-4.15207,-14.8368,-81.9605,24.4236,-9.91102
-479.224,0.683884,0.047628,2,3,0,515.173,-0.269332,6.04693,0.786536,1.26097,2.43042,7.65306,-2.66125,0.581736,-14.6687,-88.3563,21.2274,-9.97617
-160.029,0.582168,0.0343762,3,11,0,473.255,0.256023,8.67227,-0.0345454,1.88836,-4.66126,-22.1952,9.69272,-4.2605,-28.8929,-59.0173,77.5648,-20.4483
-136.207,0.993348,0.018291,3,7,0,162.053,0.397314,8.98357,-0.439066,2.0114,-3.88322,-4.81901,2.31034,-2.83757,-46.9426,11.7408,-73.8521,-33.683
-106.554,1,0.0345904,4,31,0,140.488,0.91162,8.90619,-0.308193,4.46677,-4.69508,0.250882,-1.81201,6.51762,27.5671,-0.430345,57.8063,-2.8443
-101.899,0.983593,0.066263,2,3,0,107.031,0.737375,8.90753,-0.593066,4.4251,3.09483,0.586691,0.582612,0.0530822,25.69,5.69331,-66.202,-4.85149
-101.899,5.8155e-06,0.119797,1,3,1,103.778,0.737375,8.90753,-0.593066,4.4251,0.858168,0.827898,0.978313,-1.1738,25.69,5.69331,-66.202,-4.85149
-86.6049,0.993494,0.0114393,6,63,0,105.033,-0.276646,9.01819,-0.509178,4.26348,4.55526,-1.46432,-3.04001,-2.17233,3.09868,13.2573,-25.8687,-25.0381
-77.2825,0.992794,0.0214503,4,15,0,87.491,-0.448412,8.99322,-0.477663,4.59314,-1.22549,0.587758,-1.97508,3.82996,7.73981,-4.37896,3.25696,-23.0025
-70.5872,0.736555,0.0397598,3,7,0,80.0164,-0.519327,9.01727,-0.524557,4.86089,-1.34619,0.512532,-2.54164,3.21303,16.7968,5.40233,-6.36201,-21.0155
-70.2538,0.997273,0.0346565,2,3,0,70.6482,-0.52777,9.02405,-0.52543,4.87232,-0.546094,0.0570725,0.0843277,0.69287,17.4558,8.00099,-6.32101,-20.9644
-65.9636,0.720614,0.0642213,2,3,0,72.6412,-0.618879,8.95147,-0.567935,5.05206,2.11596,-0.0934185,1.04455,-2.78892,17.4058,-28.3636,-16.6746,-22.2653
-63.1379,0.990338,0.0534437,2,3,0,66.385,-0.659907,9.07697,-0.499284,5.14666,1.6695,-0.4203,-0.270417,-1.85931,26.0369,24.7077,15.6373,-17.1527
-63.1379,0.0369888,0.095814,1,1,0,64.8326,-0.659907,9.07697,-0.499284,5.14666,1.40383,0.498851,-1.03539,-0.31255,26.0369,24.7077,15.6373,-17.1527
-61.015,0.997194,0.0116906,4,15,0,64.6351,-0.7501,8.94578,-0.535292,5.17224,-1.83499,0.0860197,-1.39909,1.38136,17.0442,-37.0087,5.37659,-22.4961
-55.6399,0.997409,0.0214348,3,7,0,61.945,-0.885734,9.11755,-0.582157,5.23108,2.75436,-0.880624,-0.379397,-2.02587,32.0475,30.747,-7.33201,-24.4978
-40.797,0.977909,0.0389302,3,7,0,56.9694,-1.09452,9.00448,-0.5765,5.60102,3.51817,-1.31278,-0.185172,-4.26728,29.0924,-33.7166,21.3246,-22.4621
-39.2749,0.580046,0.0663687,2,7,1,43.0484,-1.16446,9.12513,-0.5724,5.52161,2.18944,-1.41867,0.788115,0.346099,34.2248,12.031,25.6112,-25.6274
91.4129,0.675293,0.0380642,4,15,0,40.3579,-2.43677,9.35658,-1.01228,6.68596,11.7197,-2.44236,5.89874,-9.24284,19.41,-39.437,100.011,-72.6692
109.658,0.968406,0.0284735,2,3,0,-89.5129,-2.43955,9.45029,-1.17881,6.71838,-1.5799,1.19385,-5.41561,2.65322,71.5908,36.8472,80.8102,-72.542
118.094,0.538458,0.0468279,2,3,0,-108.645,-2.45795,9.41106,-1.23017,6.75319,-1.94146,-0.572141,-2.85479,2.579,66.1367,-11.3421,75.0919,-78.3931
244.478,0.880086,0.0244432,3,7,0,-115.228,-3.02928,9.50666,-1.78031,7.40803,-7.76743,1.73888,-12.3985,6.43577,62.1092,-45.649,140.155,76.6869
253.725,0.765714,0.0316496,2,3,0,-244.668,-3.07889,9.54794,-1.83068,7.36013,0.819747,-1.37797,3.91696,0.446461,-47.2534,-4.67058,146.956,-67.4286
260.012,1,0.0302815,1,1,0,-253.394,-3.08461,9.54938,-1.86698,7.38374,-0.125721,-0.03336,3.43477,-1.19214,-20.7857,0.945128,147.693,-27.2354
260.012,5.38398e-31,0.0531607,1,1,0,-255.396,-3.08461,9.54938,-1.86698,7.38374,2.95344,-0.369174,-0.302616,0.530647,-20.7857,0.945128,147.693,-27.2354
289.141,0.983953,0.00709071,4,15,0,-257.693,-3.14694,9.55356,-2.07996,7.43855,1.14769,0.315472,7.84083,-0.0233369,-59.5821,-76.2583,136.744,-0.823429
320.214,0.696453,0.0119748,3,7,0,-283.73,-3.1419,9.60446,-2.33735,7.39981,-0.390223,0.242286,-8.06907,-2.76544,-83.4625,167.525,123.522,-140.272
324.008,0.935618,0.00969308,3,7,0,-316.423,-3.13531,9.54647,-2.3611,7.44974,-0.645931,2.12744,3.01153,-1.0762,-22.9956,-190.961,114.894,103.52
329.67,0.984476,0.0143464,2,3,0,-322.266,-3.09588,9.59328,-2.39634,7.39077,-1.54466,-0.91878,2.97869,1.64457,58.9475,226.779,121.649,-18.6196
329.67,5.25328e-06,0.0238407,1,3,1,-325.891,-3.09588,9.59328,-2.39634,7.39077,-0.983251,-0.192628,-2.13207,1.41731,58.9475,226.779,121.649,-18.6196
332.207,0.998982,0.00344052,3,7,0,-329.209,-3.09769,9.58011,-2.39744,7.39498,-0.475577,-2.18234,-0.926948,0.385275,25.4501,113.932,124.281,-20.5936
335.099,0.999215,0.00593974,3,7,0,-332.083,-3.0971,9.56161,-2.41636,7.3938,-0.247898,1.07405,2.15535,-0.415517,-39.2377,-50.9827,121.241,-57.3973
338.776,0.706689,0.0101784,2,7,0,-329.636,-3.0826,9.55122,-2.47852,7.42267,0.75325,-0.00101984,4.18222,0.471228,161.658,-64.0254,107.498,214.047
390.772,0.713481,0.0085208,4,16,1,-341.007,-3.14047,9.57934,-3.04859,7.42794,0.724622,-1.16623,-9.46779,2.82971,-151.16,-147.578,37.6716,-20.2453
392.69,0.622484,0.00726679,4,15,0,-389.998,-3.1155,9.57853,-3.06745,7.4154,-1.99887,-0.0113564,1.15578,-0.226736,94.127,62.5331,35.4602,100.517
390.397,0.729292,0.00499614,3,11,0,-389.495,-3.11393,9.57076,-3.06127,7.40046,0.297125,1.17966,-0.0141548,-0.56847,-238.358,-254.456,31.5149,-291.949
392.187,0.927555,0.00444725,2,7,0,-389.299,-3.1143,9.57165,-3.05999,7.41347,0.550807,1.24733,-0.00284174,1.97903,-4.4914,-151.125,35.6864,30.2542
392.55,0.958881,0.00632505,2,3,0,-392.019,-3.11782,9.5819,-3.06364,7.41177,-0.725855,0.212219,-0.521363,-0.466915,27.5186,117.657,36.8656,-11.0697
392.55,0.0635508,0.00963294,2,5,0,-390.764,-3.11782,9.5819,-3.06364,7.41177,0.932607,-0.217908,-1.44028,0.7615,27.5186,117.657,36.8656,-11.0697
391.686,0.986432,0.00181746,4,23,0,-389.436,-3.1094,9.57608,-3.03989,7.40702,-0.975502,1.16278,-0.951122,-1.13583,31.2835,13.9542,41.5285,-15.3034
392.468,0.998169,0.00295622,4,31,0,-391.346,-3.13165,9.58054,-3.06663,7.42293,-0.326774,0.22886,-1.44402,-0.0118574,-59.7075,-34.5985,35.6447,15.9761
392.2,0.92113,0.00490791,4,15,0,-391.599,-3.10806,9.56971,-3.07148,7.4048,0.706763,0.258453,-0.73909,-0.300811,-61.7838,-193.373,31.8267,-88.4475
390.932,0.391538,0.00678919,3,11,0,-388.096,-3.11273,9.57287,-3.03552,7.41737,-0.690298,-0.625882,-0.84445,-2.02209,104.059,-62.0774,40.9339,154.091
392.171,0.975678,0.00281394,5,63,0,-386.525,-3.13205,9.58484,-3.08906,7.41317,0.0244797,0.655305,3.04772,-1.25407,-194.115,33.2998,28.7562,-221.71
393.713,0.97239,0.0043971,5,43,0,-391.019,-3.11931,9.57341,-3.24591,7.42155,1.17366,0.97459,1.71489,-0.347343,91.1152,-192.311,-18.136,221.412
394.403,0.787965,0.00678179,3,15,0,-392.598,-3.11724,9.58495,-3.19605,7.40808,-1.34517,0.438357,1.23553,-0.283864,16.3019,235.329,0.273669,-97.8513
393.495,0.793267,0.00689961,3,15,0,-390.171,-3.11592,9.58373,-3.28031,7.41327,0.173313,1.0414,2.09251,-1.07506,176.579,280.043,-27.565,108.671
393.495,0.132,0.00709932,3,7,0,-391.375,-3.11592,9.58373,-3.28031,7.41327,0.110384,-0.279314,0.981179,1.78499,176.579,280.043,-27.565,108.671
391.001,0.998803,0.00170429,6,127,0,-388.331,-3.13878,9.58528,-3.04499,7.42312,0.122181,-1.27705,1.85803,-0.492085,-126.639,25.5367,40.1481,-73.026
389.843,0.922345,0.00276943,5,31,0,-388.389,-3.10761,9.57885,-3.04188,7.41747,1.54107,-0.367078,-0.224112,-0.590042,274.311,181.426,37.7108,279.686
394.345,0.970547,0.00378864,5,35,0,-389.039,-3.11933,9.58465,-3.2498,7.41396,-1.24211,-1.7735,2.42587,-0.195391,105.173,252.544,-16.3568,48.0063
392.907,0.558666,0.00573039,3,7,0,-391.897,-3.13283,9.57503,-3.25926,7.42576,-0.884815,-0.501963,-0.151485,-0.980665,-151.857,-340.01,-23.5531,46.1169
395.06,0.998683,0.0035578,4,23,0,-392.348,-3.11376,9.57488,-3.224,7.40977,-1.4974,0.740339,-1.42098,-0.782808,-25.2697,-119.594,-8.5651,-45.375
394.364,0.65844,0.00568793,4,31,0,-390.401,-3.11496,9.57612,-3.13775,7.41692,2.34047,-0.855248,1.31008,-0.0277314,116.13,-9.47546,16.7843,153.069
394.606,0.85222,0.00438749,4,23,0,-390.46,-3.13468,9.58087,-3.1892,7.42315,-0.81244,1.92603,1.56071,-1.21951,-140.365,-101.293,2.24257,-39.2072
391.936,0.843121,0.00511178,4,31,0,-388.314,-3.09423,9.57473,-3.27529,7.39451,2.10165,0.121204,1.61431,-0.454239,137.816,84.2237,-30.6565,-102.067
394.086,0.862808,0.00583189,5,31,0,-390.41,-3.12143,9.58324,-3.26735,7.41017,-1.67973,-0.313234,0.678625,1.99267,-80.2492,116.272,-22.4985,-162.247
394.863,0.199306,0.006922,4,19,0,-392.308,-3.12211,9.57523,-3.16529,7.41726,1.02571,0.351882,1.60915,1.15965,-53.2094,-157.594,9.18409,10.7709
395.23,0.991602,0.00206188,5,55,0,-393.864,-3.11833,9.57578,-3.20614,7.41313,-0.366518,-1.19057,0.857929,0.665802,-48.1646,-124.573,-2.58166,-32.457
393.735,0.998114,0.00320534,4,15,0,-393.374,-3.1424,9.58504,-3.22734,7.42868,0.139436,-0.0879409,-0.731031,0.399436,-146.123,-26.1328,-10.5113,-2.2271
393.502,0.892561,0.00502598,4,31,0,-391.969,-3.09627,9.57261,-3.16699,7.40341,0.496672,-0.716515,1.45779,-0.426089,223.032,34.6336,5.43859,128.585
395.007,0.883609,0.00631795,2,7,0,-388.079,-3.11621,9.58163,-3.17018,7.41113,3.32849,-0.995318,0.533666,-1.22539,54.4288,136.99,8.92157,-0.851733
394.193,0.0818999,0.00777887,3,11,0,-391.153,-3.11046,9.57273,-3.18903,7.40262,0.943015,-1.46764,-1.21031,1.25403,-139.245,-197.086,0.0750893,-213.287
395.253,0.999082,0.00188093,5,63,0,-393.172,-3.12272,9.58014,-3.17154,7.41685,1.65852,0.661994,-0.979839,-0.110227,0.273331,18.8544,8.79809,22.423
394.324,0.930939,0.00293398,3,15,0,-392.988,-3.10691,9.57265,-3.17217,7.40165,-0.393446,0.929744,0.0937142,1.28202,-71.2667,-142.945,5.49889,-158.484
394.148,0.993165,0.00397317,5,39,0,-392.819,-3.12454,9.57874,-3.27602,7.42106,-1.43356,-0.0833798,0.75969,0.136831,32.952,-58.2463,-25.675,125.725
392.895,0.467419,0.00607325,1,1,0,-392.8,-3.12768,9.57416,-3.27776,7.41875,-0.127258,-0.350221,0.197989,0.103034,-212.229,-363.583,-29.4323,-91.0518
393.608,0.998934,0.00325091,2,7,0,-392.372,-3.11582,9.58005,-3.27805,7.41739,-0.889826,-1.01225,-0.105041,0.802794,217.836,141.043,-27.2056,233.73
393.724,0.722807,0.00500881,2,3,0,-392.389,-3.11633,9.5738,-3.27705,7.40975,-0.637172,-0.535714,0.244655,-1.38519,-126.092,-244.059,-27.6703,-131.534
392.753,0.978461,0.00446193,2,7,0,-391.843,-3.1005,9.57547,-3.28724,7.40008,0.0841735,0.400428,0.551259,1.16115,118.468,51.9787,-32.5411,-55.6615
393.816,0.990634,0.00656523,2,3,0,-392.607,-3.11084,9.57642,-3.288,7.41038,1.18044,-0.52264,-0.148664,-0.854052,107.524,-6.15079,-30.44,67.5152
394.126,0.312777,0.00985467,1,3,0,-392.323,-3.12647,9.579,-3.28061,7.4184,-1.1353,0.805594,0.882566,0.942335,-91.5208,-110.499,-27.1005,-26.1053
394.873,0.972099,0.00395303,5,35,0,-392.928,-3.10682,9.57678,-3.20832,7.40679,-0.456392,0.748745,-1.64406,0.647059,117.171,59.7403,-3.8534,36.4868
392.134,0.69311,0.00571516,4,27,0,-391.657,-3.13724,9.58733,-3.14521,7.43543,-0.430534,0.296458,0.76086,0.317075,166.668,203.217,11.9311,322.406
391.535,0.8923,0.0048148,4,27,0,-389.41,-3.10988,9.57627,-3.21021,7.39335,-0.839456,1.32933,-1.03171,0.844459,-292.263,-123.775,-11.2448,-490.765
392.298,0.988392,0.00594777,4,23,0,-391.174,-3.10617,9.56457,-3.19744,7.40386,1.23752,-0.0642548,-0.778566,0.328187,-136.595,-461.453,-7.52061,-142.14
394.557,0.600003,0.00880597,2,5,0,-393.7,-3.11875,9.58449,-3.1985,7.40859,1.11208,0.114396,0.0578228,-0.678264,-17.7685,195.718,-0.240418,-120.461
394.557,0.267308,0.00621703,1,3,0,-392.539,-3.11875,9.58449,-3.1985,7.40859,-0.571418,-1.65146,-0.10613,-0.984461,-17.7685,195.718,-0.240418,-120.461
