# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=12345
# chain_id=4
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC9_vehicle_4.csv
# diagnostic_file=stan_diagnostics/LCC9_vehicle_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
-120.473,0.971765,0.0451,2,3,0,125.335,0.723475,8.88799,-0.367819,2.2824,1.34166,-1.50156,1.49315,1.85447,-9.35327,3.02684,1.46387,-16.2343
-118.344,0.745363,0.0751906,3,7,0,123.02,1.07502,8.84547,-0.412817,2.49728,1.92332,0.757502,0.00456467,2.25378,13.234,-3.57133,2.84906,-8.55664
-118.344,0.163603,0.067552,2,3,0,123.885,1.07502,8.84547,-0.412817,2.49728,1.39884,1.34813,2.35673,-1.3246,13.234,-3.57133,2.84906,-8.55664
-103.199,0.997875,0.0128462,6,95,0,119.406,0.341902,8.89001,-0.4266,3.48308,1.06038,0.00244756,0.270417,-5.58721,-1.19323,0.267121,-5.95652,-16.1516
-100.394,0.991114,0.0228961,4,15,0,104.553,0.170522,8.92264,-0.386168,3.67819,1.19719,0.321284,0.56691,-2.54135,-0.701225,6.38544,12.1938,-16.7834
-83.2384,0.89807,0.0397175,4,23,0,105.22,0.118164,8.88956,-0.418222,5.13675,2.56637,-0.738521,-0.659793,-6.033,20.0922,2.23042,24.7094,-5.99271
-66.592,0.836517,0.0535756,4,15,0,83.4173,-0.551342,8.93491,-0.466434,5.32715,-5.3865,0.811696,0.0884675,1.99238,22.32,-3.59545,24.3943,-12.2311
-55.8201,0.838298,0.0613306,3,7,0,67.6795,-0.855073,9.00161,-0.614212,5.47704,4.22619,-0.801477,0.138787,-2.27959,35.4019,10.6152,-22.5223,-18.2026
-42.1114,0.175386,0.0703736,2,3,0,59.9026,-1.28025,9.02956,-0.524427,5.55991,-4.52396,1.02843,-3.01671,2.2266,21.0517,-16.1617,39.8146,-28.8996
-40.2769,0.999086,0.0148704,3,7,0,43.127,-1.31896,9.0057,-0.57808,5.56015,-1.17725,0.464586,-1.77546,0.97274,17.8189,-31.6615,20.7458,-34.6599
-26.3159,0.741448,0.0258409,3,15,1,42.8498,-1.54777,9.21381,-0.648753,5.75253,-3.94653,0.639261,-1.89089,3.6754,41.3006,43.5776,16.35,-37.8841
-20.814,0.966363,0.0233173,2,3,0,27.5348,-1.61112,9.11144,-0.648443,5.80059,-2.02436,-2.23224,-0.570102,2.00889,24.2218,-14.1241,25.9653,-43.7187
-19.6263,0.981489,0.036906,2,3,0,21.0217,-1.61128,9.12615,-0.672403,5.81187,0.532027,-0.528736,0.986817,-1.12004,28.593,-7.05006,18.295,-44.1256
-16.9136,0.288263,0.0602269,2,3,0,23.6759,-1.62486,9.10279,-0.831657,5.90007,1.53199,-0.311029,1.38962,-3.02487,43.3895,-23.207,-41.663,-51.8213
-14.7101,0.964774,0.017771,3,7,0,21.2263,-1.66114,9.09305,-0.721761,5.8876,-1.57421,0.26017,3.19555,0.52451,27.9944,-30.4432,6.9781,-47.9429
-12.5074,1,0.0277821,2,3,0,15.3267,-1.65805,9.11605,-0.731841,5.92439,0.866909,-1.03207,0.346814,-1.92394,36.5499,-16.356,6.81232,-44.0475
-5.19704,0.878629,0.0469964,2,3,0,14.037,-1.70869,9.12965,-0.711407,6.06232,-2.44091,0.858329,-0.888161,3.19316,44.9525,-10.5131,27.9989,-34.6032
