# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=123456
# chain_id=2
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC1_treatment_2.csv
# diagnostic_file=stan_diagnostics/LCC1_treatment_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
-936.762,1,0.03125,1,1,0,946.54,-0.308257,-1.42915,1.55386,-0.627899,-0.179154,2.35807,3.70796,0.463129,6.98509,-62.6028,-70.811,-1.40127
-936.762,0,14.3855,0,1,1,940.268,-0.308257,-1.42915,1.55386,-0.627899,0.379247,-1.49044,-0.275562,-2.13803,6.98509,-62.6028,-70.811,-1.40127
-936.762,0,2.43117,0,1,1,937.571,-0.308257,-1.42915,1.55386,-0.627899,-1.21546,0.211436,0.293963,0.100594,6.98509,-62.6028,-70.811,-1.40127
-936.762,0,0.239791,0,1,1,938.24,-0.308257,-1.42915,1.55386,-0.627899,0.0465071,-0.218646,0.719741,1.54499,6.98509,-62.6028,-70.811,-1.40127
-919.861,1,0.0186273,3,7,0,937.645,-0.211824,-1.13962,1.61064,-0.643555,0.453209,5.59337,-2.01783,-0.0647038,7.42765,-54.2515,42.8341,-1.38295
-901.032,0.974864,0.0257257,3,7,0,920.44,-0.335673,-0.841367,1.55995,-0.641168,-1.55181,5.98825,0.73393,0.102356,6.33102,-57.7844,7.47608,-1.61045
-899.083,0.895579,0.0374133,2,3,0,901.461,-0.349376,-0.801811,1.57697,-0.653448,-0.481974,2.09744,-0.192396,-0.297879,6.18539,-55.6034,34.6012,-1.62162
-881.271,0.901071,0.0459171,4,15,0,900.919,-0.372278,-0.500756,1.55397,-0.63188,0.581544,-6.18266,0.810801,-0.274528,5.75825,-56.0454,37.6851,-1.78672
-877.744,0.335815,0.0598896,2,3,0,884.006,-0.467275,-0.459579,1.53721,-0.533832,1.7414,-2.41121,0.900251,-1.69357,5.18263,-57.5614,20.7194,-1.8842
-868.872,0.999693,0.0134894,4,15,0,878.898,-0.576666,-0.320519,1.50209,-0.557073,-1.77742,4.0662,-0.531581,-0.274764,4.28425,-60.4222,-9.43078,-2.19332
-814.578,0.993657,0.0251339,4,15,0,872.282,-0.433718,0.563764,1.43128,-0.178039,0.231604,10.5126,-0.651396,2.1011,4.41281,-61.9522,7.86123,-2.39929
-764.806,0.554607,0.0466518,3,7,0,818.345,-0.600524,1.36006,1.37786,-0.397507,-1.33693,9.98823,-1.93338,-1.33723,0.533878,-60.2777,39.6724,-3.90702
