# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=12345
# chain_id=4
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_vehicle_4.csv
# diagnostic_file=stan_diagnostics/LV_vehicle_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
407.296,1,0.0078125,2,3,0,469.478,-0.0431305,-0.066516,-2.73525,7.73631,8.25926,-3.53357,-3.21966,9.49273,9.60611,-17.1949,-0.971439,22.5575,-27.5667,7.09118,2.5611,0.846196,10.5565,-4.37883,-1025.51,-376.771,-199.258,185.483,276.696,536.121,241.276,636.697,680.451
407.296,0,14.3855,0,1,1,-405.603,-0.0431305,-0.066516,-2.73525,7.73631,8.25926,-3.53357,-3.21966,9.49273,9.60611,-0.187426,-0.181273,0.485744,-0.3352,-0.665066,0.076868,-1.33417,-0.859358,-0.0522033,-1025.51,-376.771,-199.258,185.483,276.696,536.121,241.276,636.697,680.451
407.296,0,2.43117,0,1,1,-398.323,-0.0431305,-0.066516,-2.73525,7.73631,8.25926,-3.53357,-3.21966,9.49273,9.60611,3.11501,1.06827,-0.63924,1.02099,1.00926,1.11724,-0.368872,-1.58136,-0.863468,-1025.51,-376.771,-199.258,185.483,276.696,536.121,241.276,636.697,680.451
407.296,0,0.239791,0,1,1,-403.002,-0.0431305,-0.066516,-2.73525,7.73631,8.25926,-3.53357,-3.21966,9.49273,9.60611,-0.467514,0.758144,-0.27847,1.91497,1.0246,-0.265506,-0.488451,0.738824,1.46444,-1025.51,-376.771,-199.258,185.483,276.696,536.121,241.276,636.697,680.451
407.296,0,0.0186273,0,1,1,-400.921,-0.0431305,-0.066516,-2.73525,7.73631,8.25926,-3.53357,-3.21966,9.49273,9.60611,0.632729,-0.818494,-1.42598,1.54851,0.314434,2.06424,1.18571,-1.21675,-0.0170214,-1025.51,-376.771,-199.258,185.483,276.696,536.121,241.276,636.697,680.451
432.948,1,0.00130482,3,7,0,-402.613,-0.0249056,-0.0638913,-2.72897,7.72481,8.26625,-3.54587,-3.23013,9.47711,9.60083,-4.60503,-1.45396,-1.50322,1.68411,-0.120274,2.60963,2.29761,3.5254,2.77895,-200.107,-248.769,-145.131,-168.183,274.689,-9.94064,170.945,130.034,482.58
450.8,0.998986,0.00189104,6,63,0,-425.144,0.0281765,-0.134747,-2.49737,7.72863,8.24799,-3.42892,-3.30455,9.43567,9.53219,1.1313,-0.621094,-5.53832,2.34661,-0.68018,-0.532394,-0.418714,-2.09106,2.85904,72.8107,96.412,3.09062,-52.6639,-28.6277,57.5163,-124.079,-93.5809,-285.012
454.407,0.995375,0.00304743,5,63,0,-445.915,0.0163078,-0.100359,-2.52379,7.72211,8.26778,-3.46363,-3.29414,9.44517,9.5912,0.0867436,-2.49996,0.627411,-1.50021,1.65497,2.14306,-0.338989,-0.713222,0.355254,85.9298,-124.445,-12.569,-117.363,133.281,-19.4603,23.7537,-89.0417,243.698
455.609,0.949431,0.00520775,4,15,0,-449.68,0.00888781,-0.0875393,-2.51839,7.75999,8.2675,-3.46639,-3.28098,9.43647,9.55401,0.421864,-1.15395,0.360569,0.824866,-1.22603,-1.13544,1.76365,-0.312571,1.88071,-48.447,101.512,-8.26867,97.3692,81.8384,78.1281,-76.6558,-8.01194,-219.101
454.99,0.743452,0.00804842,4,15,0,-450.202,0.0515303,-0.0640691,-2.52823,7.75069,8.22689,-3.50581,-3.19306,9.5416,9.5911,0.365035,0.218985,0.466084,1.69025,2.05803,0.361575,0.349709,0.633341,1.19621,-97.6451,-141.88,-12.8176,33.3089,37.1159,34.6497,138.811,122.719,277.74
457.033,0.966811,0.0066643,5,47,0,-452.869,-0.00861194,-0.109295,-2.49769,7.74569,8.23551,-3.48583,-3.26026,9.42577,9.53901,0.213504,1.25141,-0.991194,-0.697972,0.591858,0.799284,-1.31941,-0.870488,-1.32622,4.3697,88.6697,5.47026,-3.79064,-42.0163,4.4269,-69.7269,-49.3388,-253.667
458.685,0.278097,0.0113812,2,7,0,-452.122,0.00167979,-0.0673551,-2.47928,7.75716,8.21751,-3.5236,-3.2556,9.4886,9.57864,0.349567,-2.20232,-0.555247,-0.577619,-0.755562,0.0874657,-0.170781,-2.51743,0.753446,-157.036,38.8283,7.43912,64.3441,-100.661,48.5184,-53.3256,107.58,-42.3052
457.83,0.993174,0.00224521,5,31,0,-454.658,-0.000965346,-0.0295627,-2.4645,7.75054,8.25014,-3.52552,-3.21291,9.48727,9.58987,-0.827685,1.31619,0.261244,0.463673,0.643815,1.35456,0.962069,0.406248,-0.551167,-136.125,13.7504,18.1171,27.7743,82.3131,29.3921,56.2206,92.4799,40.5489
459.696,0.987281,0.00426989,5,31,0,-454.322,0.010473,-0.105031,-2.56032,7.75902,8.24871,-3.4931,-3.27588,9.45837,9.5598,-0.433979,-1.15667,-1.09387,-0.128902,1.20318,2.25128,0.237006,0.366281,-1.14113,-36.7454,9.31967,-23.7085,72.048,22.9482,24.885,-44.4874,2.84962,-70.0369
458.225,0.881103,0.0079896,4,15,0,-455.409,0.016919,-0.0545421,-2.51235,7.70885,8.2358,-3.46944,-3.21566,9.46777,9.57702,0.1133,-0.676281,-1.10045,-0.757998,-0.429834,0.713487,-0.825034,-1.11892,-0.865456,-10.7285,11.1561,-2.00774,-161.957,20.7712,8.05507,38.7021,-3.63963,-6.73435
456.901,0.957057,0.0107446,3,15,0,-451.981,0.0695324,-0.0154002,-2.54077,7.74902,8.24697,-3.43464,-3.22322,9.49484,9.59634,1.28907,0.493952,-0.7179,2.01161,-1.04114,0.0790826,-0.858233,1.0431,0.675563,45.0449,57.1087,-13.3405,49.7437,58.716,79.0043,19.895,-24.7647,1.4872
456.901,1.12228e-27,0.0182654,1,3,1,-446.213,0.0695324,-0.0154002,-2.54077,7.74902,8.24697,-3.43464,-3.22322,9.49484,9.59634,-0.804243,-0.565328,0.396585,0.791372,-1.32564,2.68347,1.27949,-0.491582,2.96452,45.0449,57.1087,-13.3405,49.7437,58.716,79.0043,19.895,-24.7647,1.4872
459.589,0.998534,0.00166254,5,31,0,-455.781,0.0577762,-0.036135,-2.54778,7.74282,8.24617,-3.45614,-3.22476,9.50581,9.58644,-0.968544,-1.1687,-0.0859987,-0.56562,-1.14228,-1.55234,-0.558851,0.626978,-0.752065,-45.1793,38.684,-15.5031,22.2457,56.7791,79.5741,22.7687,51.5948,-10.06
457.376,0.959284,0.00324628,4,31,0,-454.278,0.0448187,-0.0359769,-2.5369,7.76645,8.25618,-3.47414,-3.22777,9.46874,9.58687,1.46537,0.511417,-0.656825,0.287769,1.18926,0.972969,0.59151,0.717658,-0.215325,193.64,27.8236,-16.3815,59.7835,105.011,-56.7152,34.5351,-146.621,7.69102
457.616,0.996003,0.00558902,5,31,0,-453.435,0.0540593,-0.118978,-2.52555,7.76234,8.24792,-3.51195,-3.24028,9.52116,9.53923,-0.586578,0.0986241,1.2923,-1.79516,-1.08592,-1.24136,0.146951,-0.485068,-0.372496,116.321,6.15832,-8.89548,15.257,55.5939,-96.2457,14.3716,-46.6554,-135.742
459.479,1,0.0106626,3,7,0,-456.812,0.0442286,-0.113679,-2.512,7.76506,8.24258,-3.50898,-3.24002,9.51677,9.54938,-0.862803,0.641097,1.28141,-0.123598,-0.698359,0.339228,-0.103396,-0.608092,1.24065,-11.1,-27.0298,-1.98652,71.177,37.0666,-11.2272,23.9522,36.8456,-54.2257
459.479,0.00429499,0.0203943,1,3,0,-451.433,0.0442286,-0.113679,-2.512,7.76506,8.24258,-3.50898,-3.24002,9.51677,9.54938,0.477198,0.782161,-2.56893,0.496913,0.415325,0.199115,2.71163,0.862919,0.311253,-11.1,-27.0298,-1.98652,71.177,37.0666,-11.2272,23.9522,36.8456,-54.2257
458.26,0.989227,0.00208549,6,63,0,-455.465,0.0461047,-0.135304,-2.52416,7.76072,8.24189,-3.49016,-3.23253,9.49791,9.53808,1.0948,0.682325,0.587007,0.521122,0.548517,-1.69989,0.0330251,0.3257,0.102731,59.4057,-64.472,-6.95595,49.8655,49.42,-21.7156,51.3189,-29.4779,-40.8286
456.836,0.99621,0.003885,5,63,0,-452.135,0.0719659,-0.0387542,-2.38915,7.74632,8.24344,-3.46749,-3.25617,9.52791,9.59432,0.00420178,-1.98537,-0.525709,-0.888171,-1.37369,0.756914,1.03286,0.729451,-0.579272,0.793874,32.4245,47.6761,6.27492,14.4378,35.7748,-20.4204,35.649,28.7076
457.564,0.857835,0.00731255,4,15,0,-451.711,-0.0127443,-0.100362,-2.41972,7.73884,8.22608,-3.52714,-3.23119,9.45147,9.56429,2.10505,1.01331,1.76937,1.63361,0.203893,0.301135,-0.0684422,0.534673,0.159512,40.9023,-46.248,36.1991,-73.0716,-16.4444,-83.7751,34.7411,-52.0384,27.2899
455.87,0.712329,0.00917515,4,15,0,-452.308,0.0734277,-0.053681,-2.56509,7.77561,8.24496,-3.50613,-3.27751,9.53126,9.5915,0.981314,1.45573,1.09623,-1.3116,0.0467312,0.241009,-0.468691,-0.742755,0.535782,176.735,41.5084,-34.2851,75.9422,0.0149824,-112.958,-59.7981,-84.8313,4.2208
454.833,0.764717,0.00759705,4,15,0,-450.217,0.0245912,-0.120663,-2.56788,7.722,8.22851,-3.4768,-3.19497,9.4926,9.53962,0.707791,0.221975,1.06168,0.621052,0.0829949,0.208677,-0.403592,-2.63593,0.0789144,-149.224,-77.28,-27.6569,-76.5045,21.616,83.5619,98.8398,110.537,-16.272
454.166,0.785109,0.00731303,4,15,0,-448.124,0.0612695,-0.0174722,-2.57489,7.76682,8.24001,-3.45018,-3.26479,9.49979,9.61461,-1.35058,-2.1739,-0.591268,-0.990517,-0.896161,0.821676,1.46046,0.469629,-0.608863,-93.2509,32.4048,-34.9034,173.678,-14.284,140.295,-45.5682,78.556,112.454
454.036,0.992314,0.00745728,4,31,0,-446.805,-0.015294,-0.14539,-2.39664,7.72916,8.23382,-3.51331,-3.26322,9.46312,9.53691,-1.03086,-1.58828,1.97619,1.72757,-1.16543,-0.768041,1.18599,-0.0924141,-0.790433,-123.51,-29.4925,41.8959,-51.1164,-15.3313,25.9899,-13.522,59.5907,-97.5749
