# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=12345
# chain_id=2
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_vehicle_2.csv
# diagnostic_file=stan_diagnostics/LV_vehicle_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
424.324,1,0.0078125,3,7,0,440.23,-0.0285643,-0.0697682,-2.72372,7.74547,8.26365,-3.56095,-3.24274,9.4861,9.61749,-17.2015,-1.01162,22.8503,-26.897,7.34999,2.03762,-0.552233,10.4731,-4.2948,-343.072,-383.206,-155.439,14.5165,276.655,83.3894,222.522,218.892,753.683
424.324,0,14.3855,0,1,1,-422.219,-0.0285643,-0.0697682,-2.72372,7.74547,8.26365,-3.56095,-3.24274,9.4861,9.61749,-0.100112,-1.10353,1.40869,0.174888,0.711144,-0.37131,0.285964,-0.31111,-0.383109,-343.072,-383.206,-155.439,14.5165,276.655,83.3894,222.522,218.892,753.683
424.324,0,2.43117,0,1,1,-421.673,-0.0285643,-0.0697682,-2.72372,7.74547,8.26365,-3.56095,-3.24274,9.4861,9.61749,-0.578359,-0.810576,-0.179147,0.903259,-0.662792,-1.21954,-0.180846,-0.503367,1.1183,-343.072,-383.206,-155.439,14.5165,276.655,83.3894,222.522,218.892,753.683
424.324,0,0.239791,0,1,1,-417.019,-0.0285643,-0.0697682,-2.72372,7.74547,8.26365,-3.56095,-3.24274,9.4861,9.61749,-0.456717,-2.64958,0.716765,-1.01093,-0.99478,1.44614,0.385209,1.34763,-0.894751,-343.072,-383.206,-155.439,14.5165,276.655,83.3894,222.522,218.892,753.683
424.324,3.89204e-205,0.0186273,1,2,1,-421.534,-0.0285643,-0.0697682,-2.72372,7.74547,8.26365,-3.56095,-3.24274,9.4861,9.61749,-0.441857,0.475683,0.764725,-0.959737,1.19469,0.677112,-1.04882,-0.790422,0.205358,-343.072,-383.206,-155.439,14.5165,276.655,83.3894,222.522,218.892,753.683
428.786,0.999845,0.00130482,6,63,0,-416.586,0.00597631,-0.0632251,-2.74531,7.75627,8.24005,-3.56509,-3.2695,9.49879,9.55009,-0.876923,0.302689,0.228929,-1.7782,1.76797,-1.70893,1.15712,-1.49355,3.27228,221.36,369.228,-162.534,-110.896,-120.315,-277.706,-236.27,-119.184,-624.686
453.986,1,0.00189014,6,63,0,-419.838,0.0724867,-0.0750603,-2.59902,7.74046,8.24199,-3.4956,-3.2825,9.53757,9.56406,1.71654,1.5195,5.75168,1.86556,-1.71481,3.47086,-0.816193,0.248291,-3.28056,174.806,147.379,-52.3523,-108.384,-51.2192,-136.273,-127.883,-74.6016,-252.882
454.852,0.997189,0.00305559,5,31,0,-446.87,0.0894078,-0.0933783,-2.59726,7.73566,8.21062,-3.46182,-3.21109,9.53558,9.55358,0.691313,1.2546,0.935652,0.919802,0.613722,0.60916,1.39007,-1.18536,-2.84686,193.534,4.82599,-44.7894,-96.2257,-102.013,-78.8808,24.398,-92.0478,-83.3369
454.24,0.984973,0.00525167,5,31,0,-452.552,0.0906986,-0.0884432,-2.59683,7.73219,8.21182,-3.46634,-3.20956,9.54118,9.55259,-0.295381,0.858883,0.201041,-0.328565,0.488988,-0.59362,0.2453,1.31677,0.137166,206.093,30.7836,-45.31,-127.049,-99.0359,-101.483,17.1432,-94.9747,-124.201
456.494,0.614882,0.00908072,4,15,0,-449.213,0.0636392,-0.100262,-2.56196,7.7248,8.20654,-3.46583,-3.21762,9.52749,9.56585,0.357701,0.553584,1.84343,0.898026,1.82631,-1.05108,-0.822383,-2.1625,-0.361082,-32.7331,-82.0407,-28.8195,-86.0106,-105.792,37.1648,47.2358,64.0363,84.1254
