X1,path,count,well,field,day,time,cell_type,date,treatment
0,LCC1_egfp in co-culture_C4_9_2019y12m17d_22h00m.tif,385,C4,9,17,22,LCC1,2019-12-17T22:00:00Z,fulvestrant
1,LCC1_egfp in co-culture_C3_9_2019y12m16d_22h00m.tif,246,C3,9,16,22,LCC1,2019-12-16T22:00:00Z,fulvestrant
2,LCC1_egfp in co-culture_C2_1_2019y12m19d_06h00m.tif,1181,C2,1,19,6,LCC1,2019-12-19T06:00:00Z,vehicle
3,LCC1_egfp in co-culture_C2_9_2019y12m17d_00h00m.tif,876,C2,9,17,0,LCC1,2019-12-17T00:00:00Z,vehicle
4,LCC1_egfp in co-culture_C4_2_2019y12m17d_06h00m.tif,477,C4,2,17,6,LCC1,2019-12-17T06:00:00Z,fulvestrant
5,LCC1_egfp in co-culture_C3_2_2019y12m16d_16h00m.tif,211,C3,2,16,16,LCC1,2019-12-16T16:00:00Z,fulvestrant
6,LCC1_egfp in co-culture_C2_9_2019y12m17d_10h00m.tif,854,C2,9,17,10,LCC1,2019-12-17T10:00:00Z,vehicle
7,LCC1_egfp in co-culture_C4_2_2019y12m17d_16h00m.tif,498,C4,2,17,16,LCC1,2019-12-17T16:00:00Z,fulvestrant
8,LCC1_egfp in co-culture_C1_7_2019y12m18d_14h00m.tif,1280,C1,7,18,14,LCC1,2019-12-18T14:00:00Z,vehicle
9,LCC1_egfp in co-culture_C1_7_2019y12m18d_04h00m.tif,1184,C1,7,18,4,LCC1,2019-12-18T04:00:00Z,vehicle
10,LCC1_egfp in co-culture_C1_9_2019y12m17d_20h00m.tif,726,C1,9,17,20,LCC1,2019-12-17T20:00:00Z,vehicle
11,LCC1_egfp in co-culture_C2_4_2019y12m16d_16h00m.tif,1183,C2,4,16,16,LCC1,2019-12-16T16:00:00Z,vehicle
12,LCC1_egfp in co-culture_C1_2_2019y12m17d_04h00m.tif,955,C1,2,17,4,LCC1,2019-12-17T04:00:00Z,vehicle
13,LCC1_egfp in co-culture_C3_9_2019y12m11d_08h00m.tif,166,C3,9,11,8,LCC1,2019-12-11T08:00:00Z,fulvestrant
14,LCC1_egfp in co-culture_C1_2_2019y12m17d_14h00m.tif,1015,C1,2,17,14,LCC1,2019-12-17T14:00:00Z,vehicle
15,LCC1_egfp in co-culture_C2_6_2019y12m10d_16h00m.tif,290,C2,6,10,16,LCC1,2019-12-10T16:00:00Z,vehicle
16,LCC1_egfp in co-culture_C4_9_2019y12m10d_18h00m.tif,270,C4,9,10,18,LCC1,2019-12-10T18:00:00Z,fulvestrant
17,LCC1_egfp in co-culture_C3_9_2019y12m11d_18h00m.tif,171,C3,9,11,18,LCC1,2019-12-11T18:00:00Z,fulvestrant
18,LCC1_egfp in co-culture_C2_8_2019y12m18d_18h00m.tif,862,C2,8,18,18,LCC1,2019-12-18T18:00:00Z,vehicle
19,LCC1_egfp in co-culture_C4_7_2019y12m18d_16h00m.tif,360,C4,7,18,16,LCC1,2019-12-18T16:00:00Z,fulvestrant
20,LCC1_egfp in co-culture_C3_7_2019y12m19d_06h00m.tif,320,C3,7,19,6,LCC1,2019-12-19T06:00:00Z,fulvestrant
21,LCC1_egfp in co-culture_C2_8_2019y12m18d_08h00m.tif,838,C2,8,18,8,LCC1,2019-12-18T08:00:00Z,vehicle
22,LCC1_egfp in co-culture_C4_7_2019y12m18d_06h00m.tif,336,C4,7,18,6,LCC1,2019-12-18T06:00:00Z,fulvestrant
23,LCC1_egfp in co-culture_C4_6_2019y12m18d_22h00m.tif,383,C4,6,18,22,LCC1,2019-12-18T22:00:00Z,fulvestrant
24,LCC1_egfp in co-culture_C3_1_2019y12m17d_08h00m.tif,298,C3,1,17,8,LCC1,2019-12-17T08:00:00Z,fulvestrant
25,LCC1_egfp in co-culture_C3_5_2019y12m17d_00h00m.tif,368,C3,5,17,0,LCC1,2019-12-17T00:00:00Z,fulvestrant
26,LCC1_egfp in co-culture_C3_1_2019y12m17d_18h00m.tif,301,C3,1,17,18,LCC1,2019-12-17T18:00:00Z,fulvestrant
27,LCC1_egfp in co-culture_C4_1_2019y12m16d_18h00m.tif,346,C4,1,16,18,LCC1,2019-12-16T18:00:00Z,fulvestrant
28,LCC1_egfp in co-culture_C1_3_2019y12m17d_20h00m.tif,1287,C1,3,17,20,LCC1,2019-12-17T20:00:00Z,vehicle
29,LCC1_egfp in co-culture_C2_7_2019y12m10d_22h00m.tif,295,C2,7,10,22,LCC1,2019-12-10T22:00:00Z,vehicle
30,LCC1_egfp in co-culture_C3_5_2019y12m17d_10h00m.tif,472,C3,5,17,10,LCC1,2019-12-17T10:00:00Z,fulvestrant
31,LCC1_egfp in co-culture_C3_6_2019y12m12d_00h00m.tif,270,C3,6,12,0,LCC1,2019-12-12T00:00:00Z,fulvestrant
32,LCC1_egfp in co-culture_C2_6_2019y12m18d_10h00m.tif,920,C2,6,18,10,LCC1,2019-12-18T10:00:00Z,vehicle
33,LCC1_egfp in co-culture_C2_2_2019y12m18d_18h00m.tif,754,C2,2,18,18,LCC1,2019-12-18T18:00:00Z,vehicle
34,LCC1_egfp in co-culture_C2_6_2019y12m18d_00h00m.tif,922,C2,6,18,0,LCC1,2019-12-18T00:00:00Z,vehicle
35,LCC1_egfp in co-culture_C2_2_2019y12m18d_08h00m.tif,769,C2,2,18,8,LCC1,2019-12-18T08:00:00Z,vehicle
36,LCC1_egfp in co-culture_C3_7_2019y12m11d_00h00m.tif,270,C3,7,11,0,LCC1,2019-12-11T00:00:00Z,fulvestrant
37,LCC1_egfp in co-culture_C1_8_2019y12m17d_04h00m.tif,591,C1,8,17,4,LCC1,2019-12-17T04:00:00Z,vehicle
38,LCC1_egfp in co-culture_C3_3_2019y12m11d_08h00m.tif,142,C3,3,11,8,LCC1,2019-12-11T08:00:00Z,fulvestrant
39,LCC1_egfp in co-culture_C1_8_2019y12m17d_14h00m.tif,568,C1,8,17,14,LCC1,2019-12-17T14:00:00Z,vehicle
40,LCC1_egfp in co-culture_C4_3_2019y12m10d_18h00m.tif,227,C4,3,10,18,LCC1,2019-12-10T18:00:00Z,fulvestrant
41,LCC1_egfp in co-culture_C2_5_2019y12m16d_22h00m.tif,1818,C2,5,16,22,LCC1,2019-12-16T22:00:00Z,vehicle
42,LCC1_egfp in co-culture_C1_1_2019y12m11d_20h00m.tif,202,C1,1,11,20,LCC1,2019-12-11T20:00:00Z,vehicle
43,LCC1_egfp in co-culture_C3_7_2019y12m11d_10h00m.tif,252,C3,7,11,10,LCC1,2019-12-11T10:00:00Z,fulvestrant
44,LCC1_egfp in co-culture_C3_3_2019y12m11d_18h00m.tif,130,C3,3,11,18,LCC1,2019-12-11T18:00:00Z,fulvestrant
45,LCC1_egfp in co-culture_C3_4_2019y12m18d_18h00m.tif,357,C3,4,18,18,LCC1,2019-12-18T18:00:00Z,fulvestrant
46,LCC1_egfp in co-culture_C1_6_2019y12m18d_20h00m.tif,1479,C1,6,18,20,LCC1,2019-12-18T20:00:00Z,vehicle
47,LCC1_egfp in co-culture_C3_4_2019y12m18d_08h00m.tif,331,C3,4,18,8,LCC1,2019-12-18T08:00:00Z,fulvestrant
48,LCC1_egfp in co-culture_C4_4_2019y12m19d_08h00m.tif,242,C4,4,19,8,LCC1,2019-12-19T08:00:00Z,fulvestrant
49,LCC1_egfp in co-culture_C2_5_2019y12m11d_08h00m.tif,326,C2,5,11,8,LCC1,2019-12-11T08:00:00Z,vehicle
50,LCC1_egfp in co-culture_C2_1_2019y12m11d_00h00m.tif,294,C2,1,11,0,LCC1,2019-12-11T00:00:00Z,vehicle
51,LCC1_egfp in co-culture_C4_3_2019y12m17d_22h00m.tif,269,C4,3,17,22,LCC1,2019-12-17T22:00:00Z,fulvestrant
52,LCC1_egfp in co-culture_C2_5_2019y12m11d_18h00m.tif,368,C2,5,11,18,LCC1,2019-12-11T18:00:00Z,vehicle
53,LCC1_egfp in co-culture_C2_1_2019y12m11d_10h00m.tif,340,C2,1,11,10,LCC1,2019-12-11T10:00:00Z,vehicle
54,LCC1_egfp in co-culture_C3_3_2019y12m16d_22h00m.tif,281,C3,3,16,22,LCC1,2019-12-16T22:00:00Z,fulvestrant
55,LCC1_egfp in co-culture_C2_3_2019y12m17d_00h00m.tif,1167,C2,3,17,0,LCC1,2019-12-17T00:00:00Z,vehicle
56,LCC1_egfp in co-culture_C2_7_2019y12m17d_08h00m.tif,958,C2,7,17,8,LCC1,2019-12-17T08:00:00Z,vehicle
57,LCC1_egfp in co-culture_C4_8_2019y12m17d_06h00m.tif,285,C4,8,17,6,LCC1,2019-12-17T06:00:00Z,fulvestrant
58,LCC1_egfp in co-culture_C2_3_2019y12m17d_10h00m.tif,1181,C2,3,17,10,LCC1,2019-12-17T10:00:00Z,vehicle
59,LCC1_egfp in co-culture_C3_1_2019y12m10d_22h00m.tif,129,C3,1,10,22,LCC1,2019-12-10T22:00:00Z,fulvestrant
60,LCC1_egfp in co-culture_C3_8_2019y12m16d_16h00m.tif,300,C3,8,16,16,LCC1,2019-12-16T16:00:00Z,fulvestrant
61,LCC1_egfp in co-culture_C4_1_2019y12m11d_22h00m.tif,191,C4,1,11,22,LCC1,2019-12-11T22:00:00Z,fulvestrant
62,LCC1_egfp in co-culture_C2_7_2019y12m17d_18h00m.tif,994,C2,7,17,18,LCC1,2019-12-17T18:00:00Z,vehicle
63,LCC1_egfp in co-culture_C4_8_2019y12m17d_16h00m.tif,257,C4,8,17,16,LCC1,2019-12-17T16:00:00Z,fulvestrant
64,LCC1_egfp in co-culture_C2_7_2019y12m19d_04h00m.tif,965,C2,7,19,4,LCC1,2019-12-19T04:00:00Z,vehicle
65,LCC1_egfp in co-culture_C2_7_2019y12m19d_14h00m.tif,903,C2,7,19,14,LCC1,2019-12-19T14:00:00Z,vehicle
66,LCC1_egfp in co-culture_C4_6_2019y12m11d_14h00m.tif,283,C4,6,11,14,LCC1,2019-12-11T14:00:00Z,fulvestrant
67,LCC1_egfp in co-culture_C4_6_2019y12m11d_04h00m.tif,271,C4,6,11,4,LCC1,2019-12-11T04:00:00Z,fulvestrant
