rank,y_rep_mean,j,y_rep,.lower,.upper,.width,.point,.interval,agg_count,well
1,1769.1868963595562,1,1692.6149626266442,1270.1916287602262,2463.305714379717,0.95,mhd,mhd,1569,1
1,1769.1868963595562,1,1692.6149626266442,1270.1916287602262,2463.305714379717,0.95,mhd,mhd,1819,2
2,1828.1308685664571,1,1855.321869202001,1270.9523674762777,2611.916884283481,0.95,mhd,mhd,1599,1
2,1828.1308685664571,1,1855.321869202001,1270.9523674762777,2611.916884283481,0.95,mhd,mhd,1905,2
3,1890.6797462401523,1,1763.5626696135898,1250.901080725302,2615.484066790883,0.95,mhd,mhd,1645,1
3,1890.6797462401523,1,1763.5626696135898,1250.901080725302,2615.484066790883,0.95,mhd,mhd,1952,2
4,1951.0266369201645,1,1877.1250964653907,1358.5136274395952,2756.718297462391,0.95,mhd,mhd,1736,1
4,1951.0266369201645,1,1877.1250964653907,1358.5136274395952,2756.718297462391,0.95,mhd,mhd,2029,2
5,2016.155580142254,1,2013.7864657016378,1415.369418003708,2878.47969142991,0.95,mhd,mhd,1795,1
5,2016.155580142254,1,2013.7864657016378,1415.369418003708,2878.47969142991,0.95,mhd,mhd,2136,2
6,2086.2575500226126,1,2319.813247121426,1513.1049047605943,2948.247201214151,0.95,mhd,mhd,1823,1
6,2086.2575500226126,1,2319.813247121426,1513.1049047605943,2948.247201214151,0.95,mhd,mhd,2236,2
7,2152.9685224553214,1,2089.098814765789,1430.5289964391577,3100.7712269999656,0.95,mhd,mhd,1864,1
7,2152.9685224553214,1,2089.098814765789,1430.5289964391577,3100.7712269999656,0.95,mhd,mhd,2313,2
8,2224.228356937895,1,2479.3159161358626,1612.41372927323,2987.6120651717374,0.95,mhd,mhd,1961,1
8,2224.228356937895,1,2479.3159161358626,1612.41372927323,2987.6120651717374,0.95,mhd,mhd,2424,2
9,2299.9188913243665,1,2405.2652969604424,1690.4012453994703,3280.511243917973,0.95,mhd,mhd,2038,1
9,2299.9188913243665,1,2405.2652969604424,1690.4012453994703,3280.511243917973,0.95,mhd,mhd,2502,2
