par,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
theta[1],0.015303105876106964,1.9305476675777364e-5,0.0014032557132129732,0.012943094758244535,0.014265726816924226,0.01518077122788091,0.016234211808205522,0.01828177446775798,5283.388900227466,1.000033336568103
theta[2],6934.441121631467,12.343625980346935,924.2221835414831,5488.871761130245,6237.729616165105,6818.400682168896,7501.857340809248,9011.43403564145,5606.182986895329,1.000030739761351
sigma[1],0.09274814621697705,5.585780297099075e-5,0.005354331064766028,0.08283179929318193,0.08903166227572726,0.09252435160880226,0.09617767489385654,0.10388031799258239,9188.4602667797,1.0005859399382515
y0_hat[1],1283.6936513454416,0.30824355275576787,24.388786389713182,1235.374341844359,1267.3361807429999,1284.1050369535537,1300.4153884822695,1330.3233784084475,6260.260086042087,1.0000692191270608
"y_rep[1,1]",1304.8961505065993,0.9324602783245403,124.90618365948602,1079.8861931528454,1217.2346409689465,1298.7715020113606,1384.0484051097508,1568.930198715764,17943.50159550566,0.9999764421579199
"y_rep[2,1]",1322.2835467374803,0.9177334447353717,125.38417624353009,1093.7248926840477,1235.5026058884523,1316.0844376228895,1402.0390166594316,1587.9773543991196,18666.04654021527,0.9998652039048048
"y_rep[3,1]",1338.9964118008252,0.9020924720855202,126.33279104683581,1111.1326532396697,1252.372133658921,1331.9261312732306,1419.9394263303086,1602.7690497507408,19612.369405175,0.9999745204908623
"y_rep[4,1]",1352.5912993325198,0.9346686223211267,127.6279870222881,1120.6973209233267,1263.8890756376743,1346.7622315051126,1434.2017212745109,1620.474072010264,18645.606409678843,1.0000931385218155
"y_rep[5,1]",1369.881742794418,0.9391915349934005,128.41446371361204,1135.2054389153561,1280.2253821066652,1363.6867282030698,1453.3832865686336,1635.9882843882397,18694.74499807182,0.9998319671974182
"y_rep[6,1]",1387.485795777436,0.9451848093444717,129.97064872454212,1149.654492157738,1297.452412964982,1381.4928638216647,1471.1565302887711,1660.8914708519476,18908.501262642156,1.0000155881907695
"y_rep[7,1]",1404.356212084632,0.9866854504238465,131.971145817213,1162.5534654694234,1312.8106473211315,1399.0068693995072,1489.5779947966957,1677.8015857235766,17889.59572878042,0.9999021994314382
"y_rep[8,1]",1420.6781563452962,0.9759611868205359,133.91737514149574,1178.544697159713,1328.4005201363334,1413.459269823287,1506.5381468765643,1705.2177319338155,18828.198299511834,1.0000814907212288
"y_rep[9,1]",1439.1744898361508,0.9752073615950558,135.50965936569148,1190.7982813789315,1344.6352825399122,1432.2577116461734,1525.456717098573,1725.417383550427,19308.412356036813,1.000066323513312
"y_rep[10,1]",1455.5884483684822,0.9892674075027076,138.1949789200625,1203.0316149974167,1360.0065073478165,1448.957862363105,1543.6882397461352,1742.4594484297274,19514.48641444453,0.999919119053989
"y_rep[11,1]",1472.649887627151,0.9902382384959597,138.6554234263579,1218.9764211257768,1376.55710138077,1466.475903781537,1561.777944438316,1760.606333570949,19606.241025630563,0.9998752427355707
"y_rep[12,1]",1491.2098326023852,1.0165192133942,139.5626776886211,1235.9702784437302,1394.7213611385341,1484.0340333330957,1580.5314167756314,1788.165710910034,18849.82850038327,0.999860070989768
"y_rep[13,1]",1509.2460866466547,1.0243222263714178,140.98367181531614,1251.4308740845697,1411.4716959831503,1503.016088880924,1601.0664122494038,1804.2505051647458,18943.68404678954,0.9998780130268885
"y_rep[14,1]",1526.6215156785838,1.0229925331572476,143.46926635164542,1264.266224253978,1427.2084632263268,1518.3866815286106,1619.2266330192151,1829.945284739595,19668.571885067475,0.9999048080773587
"y_rep[15,1]",1544.7973767255842,1.022499369866931,144.81427856317578,1281.2903927824195,1443.7968027697448,1536.8946128500286,1637.1357530551559,1849.82596784712,20058.417750717454,1.0000084462516414
"y_rep[16,1]",1563.6577360250385,1.040535053211387,147.49522505484703,1298.117265045368,1461.2930376077893,1555.9247266136867,1656.2680527366347,1877.1439279930862,20092.893921520248,1.0000726786815501
"y_rep[17,1]",1582.3548599267904,1.0668916629985763,148.55021620465092,1310.592965236161,1479.146716225787,1575.7408719085147,1676.7239032289847,1893.401291847948,19386.79123090435,0.9999200422250661
"y_rep[18,1]",1601.0558808703408,1.069132242648525,150.17638343381262,1325.4999098984854,1498.1861384948581,1595.010179948795,1697.1853460118175,1917.2065685450336,19730.606196357676,1.0000292450164079
"y_rep[19,1]",1619.4483232256594,1.0844397911650105,151.91324546162997,1340.0512301987665,1514.6605193306802,1612.500383992964,1717.0618294026426,1935.8589032099158,19623.677354567248,1.0000128930630503
"y_rep[20,1]",1638.2899819185634,1.1110681121516628,154.25930358828845,1349.5722740958713,1531.6534102287862,1631.4381917749474,1736.5429665448532,1960.923737487593,19276.197434979345,1.000076111982765
