par,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
theta[1],0.038124880221285726,1.3377004294123528e-5,0.0011296507460534166,0.035938189402369876,0.03734609613945102,0.03811352372287751,0.038890214406699444,0.04035265003037068,7131.331974439751,1.000103886497357
theta[2],14396.180435865785,2.5833159931400136,233.60625766742476,13952.29505492763,14238.067787882794,14391.551097912925,14549.299995404506,14878.318672487796,8177.374337440093,0.9999654280292348
sigma[1],0.08388893291182369,4.39318880709956e-5,0.004870930533630984,0.07502559578257585,0.08053170358770007,0.083646921778495,0.0870143266205067,0.0941214756728144,12293.177008518447,1.0002661165326272
"y_rep[1,1]",1769.1868963595562,1.1061709169112002,151.28994959222155,1492.2745185291994,1663.9718410665712,1761.5458840763954,1865.863200356104,2082.606457863354,18705.774063795718,0.9999254423326487
"y_rep[2,1]",1828.1308685664571,1.1865558044516407,158.2884400122599,1537.613652087127,1719.2213646301045,1821.5556816004446,1930.1386859953275,2164.62005480121,17795.98625501711,0.999999757417548
"y_rep[3,1]",1890.6797462401523,1.1461694706935561,161.95228180085627,1591.328341495418,1777.6992215359242,1885.1807571647032,1996.114926198713,2226.1321347630123,19965.328936578888,0.999928249813156
"y_rep[4,1]",1951.0266369201645,1.2297641475654613,167.50373357361883,1642.5702619303852,1834.4962276620186,1943.592398753031,2059.9183479110716,2294.18416287173,18552.62337583901,0.9998597237849262
"y_rep[5,1]",2016.155580142254,1.2380796327387447,173.2659736489606,1694.6763408989252,1896.1899986220478,2009.5321769488837,2128.7675845944377,2373.580869720872,19585.26302328923,0.9999836314286314
"y_rep[6,1]",2086.2575500226126,1.2747812025331566,179.04717751324446,1757.6029730808157,1963.135283368081,2077.504291265318,2201.613930777612,2458.71459480001,19727.118648043863,1.0001369805648317
"y_rep[7,1]",2152.9685224553214,1.336454487683461,183.73657803461217,1817.6670992806817,2024.528076262789,2145.4729899276854,2273.6537631593455,2531.4390959724574,18900.918091130658,1.0000885290688075
